BMLVN	16	x2
metabolism	0.9970000
mutations	0.0010000
catastrofic	0.0010000
minWeight	0.1
start biomas	2.0	_
env.size	25000.0
feedSourceH	8000
4000
2000
0F00
0010
feed port max	75000.0
timeQuant	0.01

key	suscepBits	activeBits	maxsize	popBiomas	currincome	currloss
8000:0000	32768	0	1	12014.620415935202	735.3325805664062	318.94811685703064	
4000:0000	16384	0	1	14401.43031666193	602.967041015625	313.809618012339	
2000:0000	8192	0	1	19722.876387549906	90.20478820800781	312.4505647089643	
0F00:0000	3840	0	1	25000.0	681.84375	58.20233664826433	
0010:0000	16	0	1	25000.0	374.74053955078125	0.0	
FFFF:FFFF	65535	65535	1	652.9435936872999	4.02022806024865	2.1257367308347144	
FFFF:FFDF	65535	65503	1	650.2889955768231	4.0030932298046045	2.108456421392027	
FFBF:FFFF	65471	65535	1	606.1125938686902	3.7315781425513395	1.8292811827028894	
FFFF:FFFE	65535	65534	1	651.4855194588524	4.011221998293843	2.1162327459459997	
FFFE:FFFF	65534	65535	1	613.8826269487507	3.7794762694857718	1.878482525961092	
FFEF:FFFF	65519	65535	1	648.5555785134501	3.993180393158188	2.096665869132528	
FBFF:FFFF	64511	65535	1	531.1631522617	3.2695549104448687	1.3829994281902622	
FFFF:FBFF	65535	64511	1	649.7410027631025	3.990984967931461	2.1050203097396123	
FFFD:FFFF	65533	65535	1	645.3879716477237	3.9736588032598292	2.0766525652296597	
FDFF:FFFF	65023	65535	1	654.5646466057982	4.0301497765776855	2.119217032997465	
DFFF:FFFF	57343	65535	1	757.9083536734544	4.665509876963441	2.4551348331500025	
FFFF:FFBF	65535	65471	1	650.9760262357636	4.00672571256362	2.1129298760985207	
FFFF:FDFF	65535	65023	1	643.1722431961106	3.9496130125533924	2.0625531096874425	
F7FF:FFFF	63487	65535	1	678.7465688528728	4.178927808531608	2.2169891503041703	
FFFF:FFF7	65535	65527	1	648.8337068805134	3.9946957421319644	2.0990038851888624	
FFFF:FFFB	65535	65531	1	633.0321324256153	3.8974178327993485	1.9977965171165544	
FFFF:DFFF	65535	57343	1	420.88232981593774	2.153932037308616	0.883843401857567	
FFFB:FFFF	65531	65535	1	653.9937964683711	4.026700448723153	2.1324660951283163	
FFFF:FF7F	65535	65407	1	650.7468639172466	4.003396745172692	2.11145607609162	
FFDF:FFFF	65503	65535	1	650.1660861470881	4.003106005771508	2.1068214640532297	
FFFF:BFFF	65535	49151	1	358.4659927644262	1.7072268015157395	0.6413968510612337	
EFFF:FFFF	61439	65535	1	696.0786770824943	4.285464904413794	2.259541946601888	
7FFF:FFFF	32767	65535	1	1077.3340814572819	6.630565150243527	3.5022098560387995	
FFFB:FFDF	65531	65503	1	652.5609735311727	4.017093321416253	2.1231190234279853	
FFFF:FBFD	65535	64509	1	641.2641479547349	3.938819830941862	2.050334023733042	
FFFF:FFEF	65535	65519	1	654.5562509971791	4.029854765229893	2.1362765965414847	
FFF7:FFDF	65527	65503	1	641.660307752198	3.949919592516756	2.0524987690173613	
FFFF:FEFF	65535	65279	1	638.2070076753625	3.9230658666410405	2.030720208328889	
FFFF:7FFF	65535	32767	1	884.3963159283662	6.4016331859667455	3.9031205739970622	
FF7F:FFFF	65407	65535	1	644.698859397191	3.9693937715404592	2.067970470650656	
7BFF:FFFF	31743	65535	1	1108.9422059794585	6.82482775748918	3.604575326572468	
FFFF:FFDD	65535	65501	1	649.1898488334349	3.9962768187075897	2.1013195997069474	
EBFF:FFFF	60415	65535	1	707.8459577379831	4.357819330290836	2.29682941659333	
FFBF:FFDF	65471	65503	1	647.6044749932722	3.986541500939079	2.08889621688628	
FDFF:FFF7	65023	65527	1	611.922817068231	3.7671447090396133	1.8515697611342563	
FFBB:FFFF	65467	65535	1	649.2596610744595	3.9975127381916784	2.0994765155486412	
FFFF:FFCF	65535	65487	1	622.353004557961	3.8306461916308683	1.9308290937901755	
FFFF:FBDF	65535	64479	1	621.0610144135617	3.8139223485043146	1.9229177352337288	
F77F:FFFF	63359	65535	1	673.1771647326399	4.144586378998378	2.176005453596184	
FFEF:FFDF	65519	65503	1	649.5411055508209	3.9984823070212765	2.1030640013180504	
F7FE:FFFF	63486	65535	1	650.0064130185408	4.001810718625267	2.032808728620186	
FFEF:FBFF	65519	64511	1	649.3337471004626	3.988478567783541	2.101842072801857	
DFFD:FFFF	57341	65535	1	756.4547138724578	4.656555659217896	2.445618827919147	
FFFF:FFFD	65535	65533	1	653.3387962381254	4.022620403742525	2.1283168894484907	
FFFF:FFFA	65535	65530	1	650.8247384275217	4.007060765689574	2.111933462015816	
CFFF:FFFF	53247	65535	1	814.9878555947664	5.016324663655347	2.6280201209023417	
FDFF:FFDF	65023	65503	1	582.881221698538	3.5876506876760463	1.6796686579860851	
FFFF:FEF7	65535	65271	1	628.6986987113199	3.864362986054521	1.9705362583668358	
FCFF:FFFF	64767	65535	1	658.8598795429447	4.056583192131346	2.137805868126339	
DF7F:FFFF	57215	65535	1	745.644016543941	4.589943895012795	2.370540602617613	
FFFF:EFFF	65535	61439	1	626.1289913100788	3.7828389592294016	1.9550701575794682	
F7FF:BFFF	63487	49151	1	360.9343328233042	1.718917648755882	0.6275781358039391	
FFBF:EFFF	65471	61439	1	630.5888341865848	3.8098073093849996	1.9810445040480296	
