BMLVN	16	x2
metabolism	0.9970000
mutations	0.0010000
catastrofic	0.0010000
minWeight	0.1
start biomas	2.0	_
env.size	25000.0
feedSourceH	8000
4000
2000
0F00
0010
feed port max	55000.0
timeQuant	0.01

key	suscepBits	activeBits	maxsize	popBiomas	currincome	currloss
8000:0000	32768	0	1	14486.630279575018	23.5024356842041	226.52093235334377	
4000:0000	16384	0	1	14067.120375075305	61.100093841552734	209.11475843567678	
2000:0000	8192	0	1	13462.62013442648	265.1818542480469	196.02719355551972	
0F00:0000	3840	0	1	14727.574446320976	354.4670715332031	237.13087433004307	
0010:0000	16	0	1	25000.0	92.93509674072266	0.0	
FFFF:FFFF	65535	65535	1	606.2365227362395	2.6784958753933323	1.019284459993586	
FFFF:FFFE	65535	65534	1	579.1807501056278	2.559055962338801	0.9303409056699345	
FFFF:FFDF	65535	65503	1	595.3305426437855	2.6301473619834765	0.9829459491289534	
FFFF:F7FF	65535	63487	1	503.0559278159244	2.2160409764927613	0.7019483190855865	
EFFF:FFFF	61439	65535	1	659.7537485039783	2.91442568124466	1.0874983016178754	
FF7F:FFFF	65407	65535	1	591.1440780200882	2.6118665214380163	0.9656149465749997	
FFFB:FFFF	65531	65535	1	209.9298324150205	0.9275864716925033	0.12222198633792491	
FFFF:FBFF	65535	64511	1	583.9174404257601	2.56094349729494	0.9457308860598249	
FFFF:FDFF	65535	65023	1	451.30113826688074	1.9921635469102952	0.5649005793124711	
FFFF:FFEF	65535	65519	1	558.777374986176	2.4688927959689217	0.8659522322803486	
FFFF:FFF7	65535	65527	1	597.4961980990587	2.639872766637616	0.9901080699169209	
FFFD:FFFF	65533	65535	1	593.6196044603577	2.622803381532044	0.9772475682878777	
FFFF:FF7F	65535	65407	1	564.4666388583902	2.4937980598913625	0.8836800976477637	
BFFF:FFFF	49151	65535	1	821.7651316645189	3.6288364000521587	1.3599047669826638	
FFFF:FFBF	65535	65471	1	595.0075143183369	2.62858798387892	0.9818817031434649	
FFF7:FFFF	65527	65535	1	523.5822111597006	2.313561802191114	0.7601368357528137	
7FFF:FFFF	32767	65535	1	639.2626580499958	2.8259905021618494	1.0552697257342523	
F7FF:FFFF	63487	65535	1	629.9899587358256	2.78316941030413	1.0354176928696839	
FFFF:FFFB	65535	65531	1	589.4165846123803	2.6042354952252595	0.9635131896779916	
FFFF:DFFF	65535	57343	1	467.0053492946593	2.001878425503009	0.6052434025969853	
FFDF:FFFF	65503	65535	1	592.3616014916506	2.6172479999541833	0.9722763556843403	
FFFF:EFFF	65535	61439	1	638.4383336394328	2.8803157484043216	1.1304856553683524	
FEFF:FFFF	65279	65535	1	598.9566243234207	2.646342717611288	0.9874357149349198	
FFFF:FEFF	65535	65279	1	580.2884422132659	2.562417303663816	0.9339197987625665	
FFFF:FFFD	65535	65533	1	590.3906481321806	2.608537907481765	0.9667000841564664	
F7FF:FF7F	63487	65407	1	628.3699113476426	2.7756862906596056	1.0301096289086995	
FFEF:FFFF	65519	65535	1	574.5559151362993	2.538643766861785	0.9151692637904966	
EFFF:FDFF	61439	65023	1	641.0705478965778	2.8290041031143947	1.0268419328304934	
F7FF:FFF7	63487	65527	1	627.8964488354119	2.7738860880852063	1.0285497758286897	
FFFE:FFFF	65534	65535	1	588.4960557449456	2.6001860928065685	0.9604788194872738	
FFFF:7FFF	65535	32767	1	556.2616788326388	2.34361205463555	0.859907770846297	
FEFF:FBFF	65279	64511	1	589.1869201901982	2.5840159696151614	0.955602475907578	
FFBF:FFFF	65471	65535	1	591.6420501438366	2.6140694520427776	0.9690489557154396	
AFFF:FFFF	45055	65535	1	943.7274356500437	4.16573951289949	1.5437580249219034	
7F7F:FFFF	32639	65535	1	641.871053424501	2.837501578744737	1.0570712963955544	
FFF7:EFFF	65527	61439	1	633.3840298685316	2.8575337400045573	1.1124071608080215	
FFFF:EDFF	65535	60927	1	635.338573560467	2.8674604721368584	1.1195625662011202	
FDFF:FFBF	65023	65471	1	540.0721462365523	2.386040164774491	0.796980506830076	
BFFD:FFFF	49149	65535	1	819.2991943633147	3.6179687085486294	1.351655364078174	
FF7F:FDFF	65407	65023	1	571.1299949348935	2.5208378816596446	0.901373522404656	
EFFD:FFFF	61437	65535	1	649.0355858197252	2.867138566188776	1.0524010537692385	
DF7F:FFFF	57215	65535	1	786.7238590121876	3.473615577998356	1.2889174859875239	
F7FF:FEFF	63487	65279	1	576.6799294760008	2.5463519189870807	0.8676474252159514	
FFFF:FFF3	65535	65523	1	591.5800346997642	2.613743287199147	0.9705993847849567	
FFFF:DFDF	65535	57311	1	528.3021655708751	2.2640438353810852	0.7745795260625299	
FBFF:FFBF	64511	65471	1	603.2382503254939	2.66483577023108	0.978718909484844	
EFFF:FFFB	61439	65531	1	658.8603783302189	2.910468506417463	1.084556467820793	
FFFF:FEFE	65535	65278	1	595.7824764975653	2.6307688773615387	0.9844549947310431	
FBFB:FFFF	64507	65535	1	607.3811634481983	2.683468038457748	0.9920914552329778	
FFFF:BFBF	65535	49087	1	517.8322320354099	2.2232320095653266	0.7444465588689564	
FFFF:FBFE	65535	64510	1	578.6650705688465	2.537925480008348	0.9287943035008862	
FFBF:FFF7	65471	65527	1	590.9146662674771	2.6108159794438484	0.9666683726641284	
7FFF:FBFF	32767	64511	1	627.6998886387016	2.75444766587277	1.0175749262566463	
FFFD:FFFD	65533	65533	1	593.7343174803152	2.623297660515541	0.9776252099649895	
F7F7:FFFF	63479	65535	1	594.8131323984791	2.6279211203127373	0.9228317356638814	
DFFF:FFFE	57343	65534	1	785.7778322060291	3.4694412072055183	1.2897375240367475	
FFFF:FEF7	65535	65271	1	594.6807637735717	2.62587616987774	0.9808181655921171	
FFFB:FDFF	65531	65023	1	583.6682530317706	2.576142820624783	0.9447409412284073	
FFFD:FDFF	65533	65023	1	566.8165447837931	2.501822067439473	0.8910272514352785	
FFF3:FFFF	65523	65535	1	580.6296251554368	2.5654582042621574	0.9346875318593204	
FFFF:FFEB	65535	65515	1	595.1292898766056	2.6293605916789398	0.9822805756321193	
BFFF:FDFF	49151	65023	1	597.6766797534107	2.6375863044899504	0.7197099149272901	
FFBF:FF7F	65471	65407	1	593.9302859673008	2.6238535700121184	0.9765663308467916	
6FFF:FFFF	28671	65535	1	738.5277316351177	3.264419569199278	1.2217196637198926	
FFF7:FFBF	65527	65471	1	581.2618750156236	2.567915275484433	0.9368325462131066	
FFFF:F7FB	65535	63483	1	589.1440828242561	2.595046343691867	0.9627513285060503	
FFFB:FBFF	65531	64511	1	515.4675076925583	2.2609179546236335	0.7369243234052448	
FFFF:FDEF	65535	65007	1	595.4941522311902	2.628216633488317	0.9835207067890759	
FFFF:EFFB	65535	61435	1	633.6707403222975	2.8588437726707134	1.113664160124032	
FFEF:FFFE	65519	65534	1	591.0210893311883	2.6113250649266053	0.9683696905040435	
EDFF:FFFF	60927	65535	1	636.344109786162	2.811104458633585	0.9962198311874325	
FFFB:FFEF	65531	65519	1	521.2458852313538	2.303162500380944	0.75345423091781	
FFFF:FFF6	65535	65526	1	589.643828292382	2.605203788558032	0.964256594989722	
FFFB:F7FF	65531	63487	1	502.37807154766745	2.2130558469223733	0.6999800138903092	
FFFD:FFF7	65533	65527	1	581.4073026271275	2.5688502426459605	0.937455207826034	
7FFF:FFFB	32767	65531	1	619.6454212998568	2.739237479260266	0.9914570380835244	
FFFF:EF7F	65535	61311	1	638.6599030628944	2.882020041972147	1.1312761664217186	
FFFF:F9FF	65535	63999	1	578.9928716397516	2.5394980262084563	0.9298707163804207	
FFFF:FBBF	65535	64447	1	586.1230214748637	2.5706354904051962	0.9528916255687087	
FFFF:FFD7	65535	65495	1	587.8418311901149	2.597050166794904	0.9583744944369926	
