BMLVN	8	x2
metabolism	0.9970000
mutations	0.0010000
catastrofic	0.0010000
minWeight	0.1
start biomas	2.0	_
env.size	25000.0
feedSourceH	FF
C7
B5
23
11
feed port max	75000.0
timeQuant	0.01

key	suscepBits	activeBits	maxsize	popBiomas	currincome	currloss
FF:00	255	0	1	7320.231378857585	34.90027618408203	345.22048837805863	
C7:00	199	0	1	8073.686069983813	297.4714660644531	309.4411171400631	
B5:00	181	0	1	8235.055250914662	15.919894218444824	311.36958670483045	
23:00	35	0	1	21292.32215896515	489.9245300292969	391.72819021425204	
11:00	17	0	1	25000.0	424.7887878417969	18.378428802144555	
FF:FF	255	255	1	2810.4827655950667	49.950790367649894	46.36779606547523	
FF:EF	255	239	1	2562.4728108281724	41.80727126514043	38.590110803065706	
EF:FF	239	255	1	2959.918572541565	52.59174046253417	48.81274788305801	
7F:FF	127	255	1	5743.152091704447	101.29894296757932	94.76771662826124	
FF:BF	255	191	1	2162.3848269896657	30.05353582011138	27.544462072583393	
FF:FE	255	254	1	2787.858585722659	49.109912556399664	45.63092767032342	
FF:FB	255	251	1	2737.6371767617975	47.49114190503672	44.00953952487088	
FF:F7	255	247	1	2697.426562041224	46.11760535736511	42.73737011701261	
BF:FF	191	255	1	3703.4248543401677	65.67737447322368	60.82466463724097	
FE:FF	254	255	1	2818.982109636716	50.101048001997746	46.5046423361906	
FD:FF	253	255	1	2834.069009306696	50.3675107073021	46.79553041053214	
FF:7F	255	127	1	2557.3442123038517	43.24392054818136	38.508660398165055	
DF:FF	223	255	1	3207.8977682120567	56.957252282792865	52.86582072549853	
FF:DF	255	223	1	2146.869588324784	29.574221414004043	27.132745561339078	
F7:FF	247	255	1	2892.0892213376073	51.391740264494274	47.70451851956877	
FF:FD	255	253	1	2765.291225881903	48.32765945667075	44.90001172154761	
FB:FF	251	255	1	2845.7608248824727	50.57424678146627	46.9335310737901	
7F:EF	127	239	1	5230.284762435422	84.92564015895402	78.9205939688894	
7F:FE	127	254	1	5688.851745060477	99.47456785826236	93.01603028595733	
7F:BF	127	191	1	4407.127821027698	61.27902657006699	56.478667932962296	
FF:F3	255	243	1	2615.1590818785135	43.622165508310395	40.17845681194579	
F7:EF	247	239	1	2634.8864216037728	42.98307896829087	39.64425659951454	
BF:DF	191	223	1	2821.102218706509	38.828253809107096	35.4432762283669	
FF:DE	255	222	1	2122.8115932904702	29.055733530643145	26.52733444140946	
FF:CF	255	207	1	1933.5953650268746	24.266371230021186	22.027281030499026	
EF:FB	239	251	1	2879.495613204086	49.93905059515945	46.21103650537395	
FF:EB	255	235	1	2483.6159037019	39.512920830421656	36.25877790035066	
FF:E7	255	231	1	2444.091389308228	38.32133066819447	35.12115351728476	
FF:F5	255	245	1	2644.2210415201803	44.427190614423594	41.07498044746607	
7F:FD	127	253	1	5642.892111823585	97.91188031870509	91.54911860890446	
FF:FA	255	250	1	2700.691581372259	46.42511741608769	42.830148595453274	
BF:EF	191	239	1	3374.6666265238205	54.9754991705461	50.59977344108508	
FF:AF	255	175	1	1600.6535492381408	19.229261368002817	15.070765142599841	
FF:7E	255	126	1	2411.1935760146766	39.891294978548224	34.206055007251614	
BF:FE	191	254	1	3667.8119151123533	64.47311538684373	59.67024820367846	
BF:BF	191	191	1	2788.2879845691878	38.549397114453555	34.466115393523204	
EF:FE	239	254	1	2928.0818318738675	51.56545930719146	47.77236072291524	
DF:EF	223	239	1	2913.1900792861816	47.49507892958757	43.658112393974825	
7D:FF	125	255	1	5816.898955270121	102.5805825456023	95.7181091960719	
FF:F6	255	246	1	2649.5799716843344	44.88227880400173	41.23082886599805	
FF:D7	255	215	1	1877.438909504281	24.80795903495043	20.723582288788364	
FE:FB	254	251	1	2736.598114826489	47.47202714257915	43.836674255385525	
DE:FF	222	255	1	3174.603872834434	56.364705278555775	51.5757977293193	
DF:FD	223	253	1	3122.9670115261342	54.52615165742241	50.10559488742473	
F9:FF	249	255	1	2836.564271712086	50.40702051686514	46.262783026743705	
FD:FB	253	251	1	2739.865461467865	47.52677715160313	43.74229073301044	
FF:BE	255	190	1	1954.5386907376635	26.83071795172931	22.465792406316293	
FF:DB	255	219	1	1945.059109571446	26.071702144924885	22.247246933968245	
FF:B7	255	183	1	1482.8848469984102	19.6895049800417	12.884517324017947	
7E:FF	126	255	1	5636.328893531594	99.44054377959048	90.66822647656328	
FE:EF	254	239	1	2538.8066753276344	41.419162253240266	37.75279262842035	
7F:FB	127	251	1	5485.2146416897385	94.52838947283001	86.51532865263286	
FF:EE	255	238	1	2517.1069874075333	40.67210815624332	37.23293895030665	
3F:FF	63	255	1	11820.947697678215	205.01248365689528	188.72072585108725	
FC:FF	252	255	1	2829.3905311653184	50.28302912784277	46.49050676542857	
EF:EF	239	239	1	2681.4587751947633	43.69957129739097	40.06491270784158	
AF:FF	175	255	1	3973.1875780509613	70.42180103137798	64.99735550529286	
EE:FF	238	255	1	2955.3580591539126	52.50938923533923	48.498756547459344	
FF:7B	255	123	1	2288.094079623264	37.74044758057478	30.767519675793277	
BF:FB	191	251	1	3590.087424146697	62.15522493698165	57.18242675628174	
6F:FF	111	255	1	6324.178559681156	111.42640606720857	103.01109641290257	
FB:FE	251	254	1	2807.9773505964386	49.460350261868754	45.69609221293239	
BD:FF	189	255	1	3717.256571794463	65.91669007790121	60.593386512522564	
FB:EF	251	239	1	2570.504505259738	41.935186556050475	38.33014166821301	
BF:F7	191	247	1	3479.5977820538233	59.381905569486065	53.71994187392674	
7B:FF	123	255	1	5723.8424991525035	100.96815605856624	91.67150857534229	
FE:BF	254	191	1	1700.3117270752234	23.603059467334532	16.9003317778469	
7F:7F	127	127	1	3151.923865902846	52.65235081595551	28.1236862456814	
DF:BF	223	191	1	1947.34011130029	27.03086140540053	19.480478565970703	
DD:FF	221	255	1	3196.0850866980973	56.743654196880875	52.01492044909787	
7F:F7	127	247	1	5301.4367494726575	90.11399299595763	80.86454009845217	
FF:6F	255	111	1	1299.9227126884593	18.01282837157709	9.881583853923646	
ED:FF	237	255	1	2953.2490532862303	52.46946156755626	48.196664952475814	
7F:6F	127	111	1	2211.7320322966075	30.486541598252657	13.950515429877537	
FD:FE	253	254	1	2776.245248275413	48.901566440973454	44.897695831111506	
BE:FF	190	255	1	3596.974286413059	63.79180535591074	57.10463108758734	
F6:FF	246	255	1	2719.266862099704	48.31271997149224	41.97246048036684	
FB:FD	251	253	1	2666.479403875013	46.591902547201556	41.166927050949305	
77:FF	119	255	1	5729.984521663302	101.0689074100167	88.73384500083174	
FE:FE	254	254	1	2705.948808122045	47.65985417044312	42.81824330320101	
E7:FF	231	255	1	2997.913131844541	53.25500806426492	48.55871244615484	
CF:FF	207	255	1	2957.5678155634982	52.48883788854963	42.21067808837962	
FB:BF	251	191	1	1585.483983934297	22.000282287243852	14.534966918527106	
9F:FF	159	255	1	4295.279777304102	76.05148048767333	68.28797800387862	
BF:FD	191	253	1	3533.3824927298356	61.625409285637176	55.34860616676671	
F7:EB	247	235	1	2017.0953945492563	32.05868934635299	23.125601727064293	
FD:BF	253	191	1	1836.6530267626633	25.50488798499023	19.65672646779697	
FD:EF	253	239	1	2383.0533585804856	38.868322733813834	33.06366346832991	
