BMLVN	12	x2
metabolism	0.9970000
mutations	0.0010000
catastrofic	0.0010000
minWeight	0.1
start biomas	2.0	_
env.size	25000.0
feedSourceH	FFF
0FF
00F
777
555
feed port max	50000.0
timeQuant	0.01

key	suscepBits	activeBits	maxsize	popBiomas	currincome	currloss
FFF:000	4095	0	1	10803.18181928863	252.2684326171875	266.74071296712134	
0FF:000	255	0	1	12465.435084659792	26.81195831298828	231.4601187037539	
00F:000	15	0	1	24975.075243140236	50.22644805908203	0.0	
777:000	1911	0	1	8961.999492767014	157.42385864257812	195.10618335667212	
555:000	1365	0	1	10986.548892472667	121.79351043701172	222.47034955763553	
FFF:FFF	4095	4095	1	443.475656484713	1.9475528846149484	0.4438776559105403	
FEF:FFF	4079	4095	1	426.7556739357314	1.874146303385596	0.40807441096232905	
DFF:FFF	3583	4095	1	600.2628397809273	2.635155485365481	0.6452759381053527	
FFF:FEF	4095	4079	1	357.68789380281845	1.5586650912847049	0.2888430144045789	
FBF:FFF	4031	4095	1	393.3325660517367	1.7273772140366848	0.3372357220259213	
FFF:F7F	4095	3967	1	420.7604789572432	1.7940399836655787	0.39973353883272095	
FFF:7FF	4095	2047	1	589.7866242975396	2.6660311268713617	0.7862252653546594	
FF7:FFF	4087	4095	1	461.2896850323853	2.025742463524768	0.47850114753284095	
FFF:FFE	4095	4094	1	400.9802813603641	1.7599746386468467	0.3629273093665391	
FFF:FF7	4095	4087	1	266.89369944274637	1.1705916547429212	0.16084357134222632	
FFF:FFD	4095	4093	1	463.3188319311198	2.0332430291178665	0.48446768915565536	
FFB:FFF	4091	4095	1	463.0960546646287	2.033673420011504	0.4831579399795664	
FDF:FFF	4063	4095	1	431.52799464308436	1.8950881199553609	0.4141580497107046	
FFF:FFB	4095	4091	1	472.63487558074394	2.0706758880699474	0.5041422232544119	
FFD:FFF	4093	4095	1	474.9409683733888	2.0856626614038	0.5086531113013559	
EFF:FFF	3839	4095	1	446.49984755356354	1.9606788955269574	0.39554539365082075	
FFB:FFD	4091	4093	1	464.62966074630185	2.0389903808420167	0.48636514806789294	
7FF:FFF	2047	4095	1	265.32335903860275	1.1655392021209974	0.19066079335450473	
BFF:FFF	3071	4095	1	837.0270949409266	3.671706607246412	0.8894649261539899	
FDF:FDF	4063	4063	1	447.9686235672912	1.9404038365578713	0.44633952822709083	
9FF:FFF	2559	4095	1	1290.236738249293	5.649137881785428	1.3601795465880482	
FEF:FEF	4079	4079	1	449.14732805162987	1.9570661784538415	0.45201950211646874	
FFF:FF5	4095	4085	1	298.1936208822768	1.3069747958335411	0.20076695376097986	
F7F:F7F	3967	3967	1	409.86537533941737	1.7474665684112471	0.35595944543836777	
FEE:FFF	4078	4095	1	472.886788569453	2.076638528477562	0.5009135077778921	
FEF:FF7	4079	4087	1	471.3012640889133	2.066930160552984	0.49766271524847844	
FBF:7FF	4031	2047	1	619.6647229692993	2.801054690873204	0.8381810787960766	
DFE:FFF	3582	4095	1	506.66449527454756	2.2246195129481445	0.45980756137012646	
FFF:F7D	4095	3965	1	377.4210081434419	1.6082663843207532	0.32166211262266087	
AFF:FFF	2815	4095	1	993.317451287218	4.354783462766278	1.0346750332648125	
7DF:FFF	2015	4095	1	418.05405690672615	1.8367502180973514	0.44170839904051257	
DFF:FFB	3583	4091	1	577.3334184319122	2.5286662733911	0.5969932730896387	
BFF:FF7	3071	4087	1	824.8541681593631	3.6136567249630565	0.8638864949673494	
FE7:FFF	4071	4095	1	476.3608877147987	2.0918812950468952	0.5065489844684672	
5FF:FFF	1535	4095	1	482.77395183413324	2.121114783539877	0.5154915332237393	
FBE:FFF	4030	4095	1	485.3615985906619	2.131346146551782	0.5132732623892728	
EBF:FFF	3775	4095	1	553.0043901413082	2.4279553772239577	0.5878505238187214	
DF7:FFF	3575	4095	1	584.6548305997045	2.5667104026773653	0.6095497296087289	
FFF:FDD	4095	4061	1	331.62707380115154	1.435622945118621	0.24831983446903752	
DFF:FBF	3583	4031	1	475.9708114265576	2.003841391502994	0.4061072467523796	
FDF:FEF	4063	4079	1	453.6318525635088	1.9765997786729064	0.45768301786779975	
DFF:FF7	3583	4087	1	592.3679831495085	2.597085551761351	0.6284494068062674	
DFF:FFD	3583	4093	1	395.69024215816097	1.7363671839981756	0.28064132401191544	
DEF:FFF	3567	4095	1	598.7220885032807	2.628388763367439	0.6363829768379241	
FF5:FFF	4085	4095	1	411.43240639556325	1.806877655062943	0.38040130051713206	
FFF:7FE	4095	2046	1	569.3442710391852	2.5700851858337153	0.7326628652534098	
FFF:FFC	4095	4092	1	468.7579982696845	2.05590977690332	0.49590534627314853	
FFF:FEB	4095	4075	1	404.2353491980848	1.7573127646888096	0.3688763268344305	
FBD:FFF	4029	4095	1	447.4997755980033	1.965171002247073	0.4361095798435304	
DBF:FFF	3519	4095	1	617.7959839771603	2.711980162377853	0.6593568253255423	
FFF:7FB	4095	2043	1	594.5068980442662	2.672544389856304	0.7989074189395611	
FFF:FDE	4095	4062	1	317.33474966509306	1.3738930789329955	0.22738490873825487	
DFF:FDF	3583	4063	1	553.1562696223939	2.3954512317926837	0.5481703849006581	
FBF:FFE	4031	4094	1	486.67152076985235	2.135858997524219	0.5161456514416425	
7FF:FFE	2047	4094	1	392.6384844455611	1.724156295006919	0.4176714401894766	
FBF:FFB	4031	4091	1	402.8888953669489	1.765185999187182	0.3538202768802945	
FFE:FEF	4094	4079	1	433.30039288203045	1.8880646818187599	0.42371031942110454	
EFF:F7F	3839	3967	1	465.1006670378663	1.9828662096806595	0.4293227316199771	
FFF:6FF	4095	1791	1	281.7013538802311	1.0784062710121707	0.17958044189446645	
DFB:FFF	3579	4095	1	571.610336358841	2.509508091538431	0.5839940016614449	
FEF:7FF	4079	2047	1	616.5632483278397	2.7870735592141105	0.8530376252969386	
7FF:F7F	2047	3967	1	353.3997398553387	1.5074846921315035	0.338446711248794	
FFF:F6F	4095	3951	1	256.75189387991367	1.0861926107130904	0.14891106103464694	
FFF:FE7	4095	4071	1	452.16580489470067	1.965638326296185	0.46148350279182243	
FF6:FFF	4086	4095	1	470.4429809852727	2.065917456231087	0.49757630794064367	
DFF:FEF	3583	4079	1	567.7728315830326	2.4732653130531155	0.5774452215510801	
EEF:FFF	3823	4095	1	515.0583947083065	2.2615246111336744	0.5222338087214847	
F7F:FFD	3967	4093	1	489.4317232653145	2.14768314947651	0.5073764855267451	
FFF:FF3	4095	4083	1	451.75857642723935	1.9740444211590493	0.46062801635295164	
FFD:FFB	4093	4091	1	461.98617715514143	2.0240464208044218	0.48131039174588885	
DFF:FFE	3583	4094	1	592.0259067111522	2.5975354633670094	0.6277141713977095	
BEE:FFF	3054	4095	1	761.587518747799	3.3415591531217297	0.7291202567564499	
7FB:FFF	2043	4095	1	382.63317135688203	1.6811661475402189	0.39541764257034	
EFF:FF7	3839	4087	1	461.4596470888816	2.023645196644563	0.4224801489158964	
FFB:FEF	4091	4079	1	416.863879521165	1.8164677169680477	0.3915814414950054	
FFB:FED	4091	4077	1	455.0546717838721	1.9814288988410234	0.46657524391516664	
FEB:FFF	4075	4095	1	443.3989489060245	1.947205523279404	0.43973721630644935	
FBF:FFD	4031	4093	1	293.26697374886004	1.287067929706189	0.18752848948758397	
FFF:F7E	4095	3966	1	412.04335564650336	1.755886206068133	0.3833520858727182	
FFF:FFA	4095	4090	1	438.37955347313874	1.9195572402403316	0.4337532907767654	
DDF:FFF	3551	4095	1	597.5368278656349	2.6231805978014737	0.628272433993522	
EF7:FFF	3831	4095	1	522.7562647403514	2.295301528092314	0.5400042646558166	
FBF:FF7	4031	4087	1	489.4459129262761	2.1464147146211743	0.5220498179061764	
FDF:FBF	4063	4031	1	393.32163895521364	1.656194231409608	0.3442428738612902	
BFF:FDF	3071	4063	1	738.3711169506804	3.195731773728478	0.6927649400727514	
BFF:EFF	3071	3839	1	359.16923012034863	1.3894283880297649	0.16454337183278403	
F7F:FFE	3967	4094	1	495.5255479270562	2.1746557015127044	0.5200788937145908	
FFD:FF7	4093	4087	1	311.64461391568665	1.3668773700543346	0.21910438176836278	
FFB:FDF	4091	4063	1	438.2464887570521	1.8983470350065286	0.4327871611878194	
BF7:FFF	3063	4095	1	832.9418305083107	3.6538342033419404	0.8764487465183279	
7FF:FDF	2047	4063	1	343.2346463747816	1.4874257890141154	0.31918194488537255	
FED:FFF	4077	4095	1	365.2334596361717	1.6040259737951599	0.29870646442459897	
F7F:FFB	3967	4091	1	355.3064069303875	1.556729288558696	0.26750859455312986	
EFB:FFF	3835	4095	1	531.6655128623364	2.3343888156577677	0.5596409667430053	
FFB:FF7	4091	4087	1	383.8566949612367	1.6835664880376013	0.3320331277987859	
FFF:F7B	4095	3963	1	346.5347599776187	1.4742442582559656	0.2711935549789838	
FDB:FFF	4059	4095	1	475.1278921567766	2.0864626621068667	0.5011377149997033	
BFB:FFF	3067	4095	1	808.31883833386	3.546102561635661	0.8276746564116542	
BFF:FFE	3071	4094	1	829.0527826087471	3.6347185830529902	0.8726530934815334	
CFF:FFF	3327	4095	1	309.30541430272393	1.3582089381004956	0.14683490228237284	
FFF:FB7	4095	4023	1	381.00074787583037	1.6023556602823879	0.3278139665602024	
77F:FFF	1919	4095	1	444.4982350039131	1.9529077330801732	0.4741697260514418	
EDF:FFF	3807	4095	1	493.2181025475303	2.1656882083226656	0.47521886638167626	
FFF:FEE	4095	4078	1	454.68347805312317	1.980047804480645	0.4666242475013821	
FF7:FEF	4087	4079	1	305.50645861459924	1.3312877014614777	0.20998351942129093	
FFF:FCF	4095	4047	1	418.64588160174395	1.7993023991855428	0.3956777882848536	
DF5:FFF	3573	4095	1	508.359586387382	2.2320511118247697	0.4605475458054719	
7BF:FFF	1983	4095	1	432.5097670374684	1.9002635961347962	0.4644760854976902	
FEF:FFB	4079	4091	1	269.5064993532942	1.1808469032257483	0.16282008507069184	
DFB:FFD	3579	4093	1	513.0513418742734	2.25107796989174	0.4705886097113389	
FEF:FFE	4079	4094	1	458.95957303461466	2.01434507237918	0.4719494186996896	
FEF:FBF	4079	4031	1	380.94151318159385	1.6040835591398384	0.32533093503451027	
FFE:FFB	4094	4091	1	442.87939827684215	1.9403755737108517	0.4426153544857235	
FBF:FDF	4031	4063	1	250.60351395907102	1.0855740986120277	0.13696934072425904	
F7F:FDF	3967	4063	1	461.81261076696535	2.000303214829685	0.4518303220139285	
EFF:FEF	3839	4079	1	469.9724543405785	2.0476237258418144	0.4382264033981929	
EFF:7FF	3839	2047	1	698.3221804681276	3.1565405165486067	0.9692950965315371	
FFB:FDD	4091	4061	1	420.71864138094435	1.8212203333832995	0.39888103851483636	
FFF:7DF	4095	2015	1	418.15193517004	1.7062553921961112	0.39549831458502077	
DFD:FFF	3581	4095	1	519.539197032953	2.2811043389821397	0.4830917256623874	
7FF:FFB	2047	4091	1	298.75157476548844	1.309384044558256	0.24175564140087297	
BFB:FFD	3067	4093	1	829.7882477781337	3.6375171821495353	0.8721070158176237	
D7F:FFF	3455	4095	1	583.0213305285316	2.5594540026472714	0.5636180409371032	
FFF:FBE	4095	4030	1	351.1041990722297	1.477624317675302	0.2784038550058358	
FDD:FFF	4061	4095	1	470.81551389632017	2.067537280105834	0.4925550855815009	
FFF:F77	4095	3959	1	371.35813266047575	1.581751353827415	0.3114175516277466	
DFF:F7F	3583	3967	1	515.2466871911944	2.196430600878415	0.4758063386426834	
EFF:FFB	3839	4091	1	525.5718821919484	2.302247602686572	0.5479055419575193	
B7F:F7F	2943	3967	1	785.7102958819298	3.3463972720564605	0.7147406054630135	
F7F:7FF	3967	2047	1	317.5941215294384	1.4353359828074428	0.21396433778138652	
FF7:FFD	4087	4093	1	313.5453527947883	1.376087398010029	0.22115960498582882	
EFF:FBF	3839	4031	1	417.5597117882097	1.7581114202009307	0.34611258558749153	
3FF:FFF	1023	4095	1	674.7893978754253	2.964411613640047	0.7071312058200655	
EFF:DFF	3839	3583	1	259.57041398695037	1.0119215694775678	0.13393791087828583	
FDF:FF7	4063	4087	1	466.306265612951	2.045026592790911	0.48356856926801606	
9FF:FFB	2559	4091	1	1265.4631419552766	5.528366515021015	1.3088612051603237	
