BMLVN	12	x2
metabolism	0.9970000
mutations	0.0010000
catastrofic	0.0010000
minWeight	0.1
start biomas	2.0	_
env.size	25000.0
feedSourceH	800
400
200
0F0
001
feed port max	35000.0
timeQuant	0.01

key	suscepBits	activeBits	maxsize	popBiomas	currincome	currloss
800:000	2048	0	1	13587.703882987616	309.79827880859375	136.71479340916127	
400:000	1024	0	1	15160.335951662455	216.58412170410156	117.26986931809104	
200:000	512	0	1	15168.582237684852	150.38426208496094	122.20495251495798	
0F0:000	240	0	1	14404.604417949276	201.55599975585938	140.72867496703896	
001:000	1	0	1	25000.0	127.10890197753906	0.0	
FFF:FFF	4095	4095	1	823.7560548399651	3.527986817490291	1.1389469868228361	
F7F:FFF	3967	4095	1	821.4322129782975	3.5181312205968385	1.081725469164668	
EFF:FFF	3839	4095	1	864.7001466383404	3.7029482244653944	1.1753708556489033	
FF7:FFF	4087	4095	1	785.7011523391087	3.3655624030437075	1.0334008262040142	
DFF:FFF	3583	4095	1	951.9904552841884	4.075129481387411	1.239632019771673	
7FF:FFF	2047	4095	1	1102.9236240017435	4.724635945367533	1.4753579461344002	
FDF:FFF	4063	4095	1	779.5394277480237	3.3392606156771105	1.0083986560917833	
FFF:FF7	4095	4087	1	788.8111788024366	3.3784642058885566	1.044606729853592	
FFF:FBF	4095	4031	1	560.8520111234996	2.4098721601172057	0.5288510538661375	
FFE:FFF	4094	4095	1	801.9536962323282	3.434941082297741	1.0792335233983028	
FEF:FFF	4079	4095	1	763.8525332376048	3.272269920708452	0.9743535884597652	
FFD:FFF	4093	4095	1	796.0392442179974	3.409695021740007	1.0630263469540098	
FFB:FFF	4091	4095	1	802.9110567600763	3.4390284112618223	1.080606158169731	
FBF:FFF	4031	4095	1	820.8500695527902	3.515615070599444	1.10517309967527	
BFF:FFF	3071	4095	1	1065.6022430695664	4.560557783415138	1.4092515398392909	
CFF:FFF	3327	4095	1	1066.0397980522607	4.561315661330102	1.434402365681259	
FFF:DFF	4095	3583	1	619.8791149061735	2.4944143436113277	0.6465677109517111	
FFF:F7F	4095	3967	1	775.4174004391751	3.280699474558692	1.0098415856602345	
FFF:EFF	4095	3839	1	835.5770010960229	3.617826149466376	1.172258882082546	
FFF:FEF	4095	4079	1	794.5551960292514	3.381518186920999	1.0599109800262787	
EDF:FFF	3807	4095	1	858.9449881946716	3.6784147896096173	1.1453776150753971	
FFF:BFF	4095	3071	1	419.3942898243564	1.581450999102093	0.2965605005493859	
FFF:FFD	4095	4093	1	805.7425191490214	3.4508130270509008	1.0898056666070752	
FFF:FF5	4095	4085	1	806.461707416918	3.45351075653866	1.091764616289672	
