BMLVN	12	x2	MULTI	ch10.0
metabolism	0.9970000
mutations	0.0000100
catastrofic	0.0010000
minWeight	0.1
start biomas	2.0	_
env.size	25000.0
feedSourceH	0FF
0C7
0B5
023
011
feed port max	35000.0	limited
timeQuant	0.01

key	suscepBits	activeBits	maxsize	popBiomas	currincome	currloss
555:000	1365	0	1	7677.070673928611	90.22736358642578	129.92070490969533	
005:00E	5	14	1	5928.390754087152	23.243295554968945	4.417793729804351	
087:00E	135	14	1	1154.1842392846986	4.673758581271656	1.0827089303576294	
7FF:FFD	2047	4093	1	834.5256996869812	4.985964810405317	2.365221522734375	
004:00E	4	14	1	6849.997052938603	26.276227798480456	6.93420738483064	
7FD:7FF	2045	2047	1	515.5593586458498	2.6816200821303697	0.9005834201960332	
7BF:FFF	1983	4095	1	974.6743996367011	5.825549788301413	2.954974200967836	
0F0:000	240	0	1	10201.556210798983	334.9331359863281	168.96016574920847	
067:0FA	103	250	1	3159.7182250372794	17.60175869411151	6.866769838740739	
0C7:0FE	199	254	1	2166.0096804519285	12.445740187001505	5.602893247092354	
FFB:FDD	4091	4061	1	894.7248849501385	5.280485768428411	2.6988448975610733	
400:000	1024	0	1	10390.241126818391	91.02185821533203	181.609259269367	
FFF:FF5	4095	4085	1	890.9984378127147	5.310166982822286	2.679840996735174	
02F:0EC	47	236	1	2637.239291211379	14.937969659856892	5.193632148420244	
1BF:7FE	447	2046	1	1740.5028372386719	9.037766717072875	3.5798490040582944	
800:000	2048	0	1	12115.467999068152	261.1757507324219	175.16947608762695	
8BF:7FF	2239	2047	1	1904.772265324423	9.922698717066352	4.719773106337812	
86F:02E	2159	46	1	1275.8085794446029	5.9996480795794165	2.0510141723250492	
FFF:BFF	4095	3071	1	712.4902406085705	3.7081896436508623	1.717033658846707	
FBF:FEF	4031	4079	1	887.6879460282016	5.277968840739225	2.594191408425396	
001:000	1	0	1	25000.0	240.1197509765625	0.0	
8BF:7FE	2239	2046	1	1951.1134308909536	10.156707010272303	4.9528589926710165	
FBF:FFB	4031	4091	1	929.4158603137125	5.541815668003535	2.8438964877463704	
BFF:FFF	3071	4095	1	1398.8642497502346	8.337643396906186	4.099134684738835	
777:000	1911	0	1	7067.954468996108	178.63876342773438	149.98986313919562	
AFF:7FF	2815	2047	1	1413.2306254194752	7.35827558693069	3.6562607969767558	
0AF:7F6	175	2038	1	1892.146266075108	9.815634704111387	4.125820756158077	
007:00E	7	14	1	3534.2531041886095	14.05226115895932	3.0647143109509676	
DFB:FFB	3579	4091	1	1146.5978193796857	6.831671259563785	3.568468329603035	
0EF:5FE	239	1534	1	1001.0443919773872	4.576229954945274	1.754830112635968	
00F:000	15	0	1	14313.141051746745	186.32423400878906	137.96767171356728	
8FF:7FE	2303	2046	1	1555.860908282031	8.097508670059927	3.626226629386247	
7FF:FFB	2047	4091	1	853.412095171327	5.0944191252955635	2.4737302632976936	
200:000	512	0	1	12288.848146368007	307.16888427734375	121.17825607039991	
9FF:FFF	2559	4095	1	1888.7522697221007	11.232557330915144	5.179062907268278	
FFF:FBB	4095	4027	1	834.3533923675468	4.843719535734907	2.3505234839905396	
06F:0FE	111	254	1	2860.781253667293	16.441189386577836	6.969232019428834	
7FF:FEF	2047	4079	1	871.54786326399	5.187707804722842	2.580330139570114	
7EF:FFF	2031	4095	1	856.7585817000221	5.121295897438274	2.464510609657829	
F7F:FEF	3967	4079	1	763.087681365148	4.537563198301747	1.8701300267469598	
BFE:FFF	3070	4095	1	1341.3014021678707	7.996127440891602	3.7677754008083855	
FE7:FFB	4071	4091	1	819.679316895663	4.888326930649978	2.2474735377664254	
FFF:FFB	4095	4091	1	967.740664796455	5.770190889090521	3.161804684477713	
067:0FD	103	253	1	3141.846709442406	17.899831111569075	6.779301140917231	
085:00E	133	14	1	1460.204492356284	5.914389877639835	1.7247017917544614	
FFF:000	4095	0	1	6496.505629634762	108.47179412841797	145.55611314505055	
046:00E	70	14	1	2816.799323521461	11.40904172265373	3.3074278656436427	
0FF:000	255	0	1	9046.624807673918	336.476318359375	142.40062555078475	
0EF:0FC	239	252	1	1384.9830923815086	7.8800197973875	3.321350622008066	
DFF:FFB	3583	4091	1	1067.4302947495833	6.361276169714445	3.0977495025895294	
3FF:77B	1023	1915	1	891.1931427244841	4.283725693293418	1.5753970265963133	
FFF:F6F	4095	3951	1	847.2862696146594	4.914665251137445	2.4242276994881364	
CFF:FFF	3327	4095	1	1244.7056743531803	7.423471899906739	3.736748979130863	
DFF:FF7	3583	4087	1	1099.5148559837037	6.551359776314253	3.2868309410274943	
22F:0FE	559	254	1	2899.252544813111	16.826576447289362	7.486539264077517	
DF7:FFF	3575	4095	1	1080.5465680480124	6.448060094902689	3.163252363766152	
0AF:00E	175	14	1	1034.4360531763277	4.189911053940698	1.2334959152244922	
0AF:7FE	175	2046	1	2147.8032980356465	11.179905662195756	5.319020197484983	
9FF:7FE	2559	2046	1	1739.8026401802467	9.056916076655435	4.456540317907759	
0E7:0FE	231	254	1	1668.9330229358816	9.621141671954073	4.607636391257378	
AFF:FFF	2815	4095	1	1576.1841291849178	9.387838538777817	4.5063857275835755	
0BF:7FE	191	2046	1	1881.9349699928266	9.793666539305745	4.21216190107767	
067:0EC	103	236	1	3416.013834503193	19.161403689475726	7.98560145489752	
FF9:FFF	4089	4095	1	861.9344976316785	5.147193068649906	2.5023567295989086	
