BMLVN	12	x2	MULTI	
metabolism	0.9970000
mutations	0.0000100
catastrofic	0.0010000
minWeight	0.1
start biomas	2.0	_
env.size	25000.0
feedSourceH	0FF
0C7
0B5
023
011
feed port max	50000.0	limited
timeQuant	0.01

key	suscepBits	activeBits	maxsize	popBiomas	currincome	currloss
FFF:000	4095	0	1	9256.922218024773	108.91357421875	183.79891063238477	
0FF:000	255	0	1	12774.220171285018	401.47607421875	188.66842214746612	
00F:000	15	0	1	15303.194701160879	207.29559326171875	173.7885845686264	
777:000	1911	0	1	9919.780047135659	396.8345031738281	213.73093798913075	
555:000	1365	0	1	10016.700700763187	41.26897430419922	173.2116457175134	
FFF:FFF	4095	4095	1	517.2383349025367	1.96241027240211	0.5594285591325711	
FEF:FFF	4079	4095	1	428.810600171312	1.6271823153002936	0.3819178208204933	
DFF:FFF	3583	4095	1	631.5931850810338	2.395356585213263	0.6574742812084184	
FBF:FFF	4031	4095	1	482.99036389739024	1.8325807516659955	0.47354106983772437	
FFF:F7F	4095	3967	1	417.66734727618405	1.5448637781891252	0.3650070337471232	
FFF:7FF	4095	2047	1	620.2395002758683	2.6097453355956266	0.8053785204391727	
FF7:FFF	4087	4095	1	451.94029540447553	1.7148896108151133	0.4257095868803758	
FFF:FFE	4095	4094	1	475.202295733449	1.8019611874880435	0.4722654331032461	
FFF:FF7	4095	4087	1	414.77785515472465	1.5714843316418012	0.35987923386228665	
FFF:FFD	4095	4093	1	378.9537053169393	1.4369754519441982	0.30043270951212686	
FFB:FFF	4091	4095	1	391.72430272134346	1.486532361536219	0.3204720113412465	
FDF:FFF	4063	4095	1	452.44143237694936	1.7167811523833936	0.4220954811414206	
FFF:FFB	4095	4091	1	450.9341206817082	1.706748616110036	0.42530379908509264	
FFD:FFF	4093	4095	1	388.6192335139872	1.4747552591592255	0.3157095163873885	
EFF:FFF	3839	4095	1	355.17829603466845	1.3478272152686668	0.2330888246257379	
FFB:FFD	4091	4093	1	401.15217046415836	1.5211094268974017	0.336075094116347	
7FF:FFF	2047	4095	1	345.1186996094753	1.3102507653440068	0.29915464914799467	
BFF:FFF	3071	4095	1	778.868861187376	2.952196865649832	0.7054793390034282	
FDF:FDF	4063	4063	1	418.8813422681076	1.5649276605016096	0.36187626923778154	
9FF:FFF	2559	4095	1	1436.1343315808938	5.425135320487673	1.5051892605387869	
FEF:FEF	4079	4079	1	428.7251147140773	1.6131464426092892	0.3817851602643974	
FFF:FF5	4095	4085	1	431.6054676049078	1.6339299072598323	0.3896525701940873	
F7F:F7F	3967	3967	1	420.4840851944843	1.5551613626936192	0.3488389640654908	
FEE:FFF	4078	4095	1	420.15703288933156	1.5943657300478276	0.3666023731999541	
FEF:FF7	4079	4087	1	435.12121789211045	1.6485046102093948	0.3932401300994963	
FBF:7FF	4031	2047	1	671.7506889044497	2.826429836002287	0.9170728547284427	
DFE:FFF	3582	4095	1	482.10529184730234	1.8290877301531394	0.3832872637839827	
FFF:F7D	4095	3965	1	354.99434806875587	1.3122067998829854	0.26373865440210825	
AFF:FFF	2815	4095	1	976.9217601141638	3.6999129633351435	0.9265761677572245	
DFF:FFB	3583	4091	1	674.1451012985173	2.549922564369672	0.7489036764523489	
BFF:FF7	3071	4087	1	892.42035766603	3.3756850254352133	0.9253762576266144	
FE7:FFF	4071	4095	1	474.313746751742	1.7997068343337208	0.4655673297955222	
5FF:FFF	1535	4095	1	425.4894859867177	1.6153127826583964	0.3659160409430338	
FBE:FFF	4030	4095	1	472.89587331399247	1.7943150805582104	0.4538849690291159	
EBF:FFF	3775	4095	1	527.0622460033284	1.9995020023636478	0.496693870579383	
DF7:FFF	3575	4095	1	635.8282567830719	2.4113849860047765	0.6635429621675017	
FFF:FDD	4095	4061	1	273.67101700873917	1.0217991718299075	0.1567648493989574	
FDF:FEF	4063	4079	1	453.5620792913559	1.7065344774897149	0.4242203418767819	
DFF:FF7	3583	4087	1	505.26305962550333	1.9138319991060637	0.4210503034332637	
DFF:FFD	3583	4093	1	650.6367181725104	2.4655188943904536	0.6976571915555234	
DEF:FFF	3567	4095	1	547.7537241244108	2.0778561757711613	0.49057932489357425	
FF5:FFF	4085	4095	1	455.09382516211895	1.7268457821851257	0.43134956115181944	
FFF:7FE	4095	2046	1	612.0626748191363	2.5718494512971155	0.7842908840237927	
FFF:FFC	4095	4092	1	459.10523420829713	1.7396205784369476	0.4408401677280709	
FFF:FEB	4095	4075	1	522.65526424073	1.9612374709371374	0.5712553366757586	
FBD:FFF	4029	4095	1	323.6753966954001	1.2283594681259669	0.21263372790370572	
DBF:FFF	3519	4095	1	540.7972182878689	2.0514828982084246	0.4655689964330606	
