BMLVN	12	x2
metabolism	0.9970000
mutations	0.0010000
catastrofic	0.0010000
minWeight	0.1
start biomas	2.0	_
env.size	25000.0
feedSourceH	800
400
200
0F0
001
feed port max	35000.0
timeQuant	0.01

key	suscepBits	activeBits	maxsize	popBiomas	currincome	currloss
800:000	2048	0	1	12047.685705508064	6.590938568115234	133.5458994425016	
400:000	1024	0	1	14305.609562563646	283.0614929199219	127.42358786934693	
200:000	512	0	1	17386.104383700353	1.0159403085708618	122.60294427993023	
0F0:000	240	0	1	25000.0	195.1046142578125	52.32282565234561	
001:000	1	0	1	25000.0	329.5987854003906	0.0	
FFF:FFF	4095	4095	1	903.1809136346116	4.251192781499323	1.5985363887331505	
F7F:FFF	3967	4095	1	831.7069457092939	3.9159174076786796	1.3042267192005281	
EFF:FFF	3839	4095	1	900.6944850911584	4.239698017221064	1.4689918124507428	
FF7:FFF	4087	4095	1	878.1739330594891	4.133914798277104	1.5078179384631292	
DFF:FFF	3583	4095	1	1068.3673946346685	5.025484183985079	1.8665744555548178	
7FF:FFF	2047	4095	1	1347.9201830300813	6.342443098346565	2.3615379977227393	
FDF:FFF	4063	4095	1	896.8848635612438	4.221687401189823	1.5611791027150341	
FFF:FF7	4095	4087	1	810.5781593541388	3.815233521609121	1.2880724573848903	
FFF:FBF	4095	4031	1	867.8716442232353	4.083254460135554	1.4763848002308786	
FFE:FFF	4094	4095	1	768.6021702973795	3.619553834208061	1.157977747584725	
FEF:FFF	4079	4095	1	878.3894749978311	4.134931977676026	1.5053424244622078	
FFD:FFF	4093	4095	1	876.0849693155574	4.124112170519855	1.5032908592951235	
FFB:FFF	4091	4095	1	894.349503711329	4.209780755113813	1.5655985895139408	
FBF:FFF	4031	4095	1	907.2758523768816	4.2704365518431135	1.5822755591361644	
BFF:FFF	3071	4095	1	1225.0535078545267	5.759934648552665	2.116595717330926	
CFF:FFF	3327	4095	1	1149.1257192476687	5.403918145721889	1.9888564495961871	
FFF:DFF	4095	3583	1	617.7174695026245	2.564104072506828	0.749958808830192	
FFF:F7F	4095	3967	1	849.9034493557667	3.9822257852462837	1.4161985832751498	
FFF:EFF	4095	3839	1	934.9047936578511	4.486146439579943	1.7130788305271463	
FFF:FEF	4095	4079	1	844.8085483028275	3.9742137844852063	1.3989815141728348	
EDF:FFF	3807	4095	1	965.0205642609488	4.541314894997992	1.6687791990404892	
FFF:BFF	4095	3071	1	571.1593415961718	2.3956530034688237	0.6415821018063309	
FFF:FFD	4095	4093	1	882.75055977558	4.155025262606447	1.527173933769198	
FFF:FF5	4095	4085	1	852.2394398694382	4.010374799733842	1.4236370810406507	
7FF:FEF	2047	4079	1	1303.731010772499	6.130675424216391	2.209808825793885	
EFF:BFF	3839	3071	1	589.7537231640121	2.4736207778935206	0.6322388337191801	
F7F:FF7	3967	4087	1	866.5505209912365	4.077896304352271	1.4156015204225985	
EFE:FFF	3838	4095	1	906.6436342826299	4.267602137873456	1.4879713014807499	
F7B:FFF	3963	4095	1	919.8182650369581	4.329293767210882	1.5926150408665838	
FFF:FD7	4095	4055	1	883.5315833536123	4.15396609870114	1.5299915620842492	
FCF:FFF	4047	4095	1	884.4489485667548	4.163372415557314	1.5114000048629723	
FF7:FBF	4087	4031	1	886.0661687900554	4.168566349027533	1.5351731880543462	
FE7:FFF	4071	4095	1	866.0477113140629	4.0770372601219975	1.4599357461897093	
AFF:FFF	2815	4095	1	1359.5372879909967	6.389057155741334	2.3384856813397694	
7FF:FFB	2047	4091	1	1334.212933830002	6.277409897678447	2.3139235735108614	
F7F:FFB	3967	4091	1	918.1591538023454	4.320924311699721	1.588859691602977	
6FF:FFF	1791	4095	1	1542.6410966212084	7.255327664826004	2.6836276172572284	
7FB:FFF	2043	4095	1	1338.1640775752687	6.296752205902683	2.3226521624174996	
FDF:FDF	4063	4063	1	890.6899681725517	4.188848884952357	1.5396524035163273	
DFF:FDF	3583	4063	1	1058.722405227228	4.976113565877918	1.833300003095586	
DF7:FFF	3575	4095	1	1064.3041513492342	5.0064836263029555	1.8479601075616887	
77F:FFF	1919	4095	1	1379.2649091782503	6.489785824520577	2.3062631993808047	
F3F:FFF	3903	4095	1	937.3536667060158	4.411551661310149	1.6235404968902307	
FDB:FFF	4059	4095	1	892.3326684595811	4.2003405517939845	1.543529523193073	
DDF:FFF	3551	4095	1	983.9100282809592	4.629998807761521	1.568207688969886	
FFB:FFB	4091	4091	1	881.117338965359	4.1471328012078965	1.5196909312324236	
FBF:FEF	4031	4079	1	894.3485983266025	4.206484143216008	1.5376502064747548	
FDE:FFF	4062	4095	1	877.2763127873869	4.1297167504350325	1.493359238137921	
FFF:FBB	4095	4027	1	885.3282871706615	4.164618266820023	1.5362774755470756	
7FF:F7F	2047	3967	1	1316.6970257700548	6.167860768495095	2.2554465374274404	
