BMLVN	12	x2
metabolism	0.9970000
mutations	0.0000100
catastrofic	0.0010000
minWeight	0.1
start biomas	2.0	_
env.size	25000.0
feedSourceH	0FF
feed port max	350000.0
timeQuant	0.01

key	suscepBits	activeBits	maxsize	popBiomas	currincome	currloss
0FF:000	255	0	1	13389.523636112512	2764.191162109375	1882.853475276043	
017:FF7	23	4087	1	2858.1434626609844	42.725286374363506	36.87447373201518	
0B6:FFF	182	4095	1	1599.369220476979	23.94053144172046	20.111115418692478	
00F:000	15	0	1	18705.92874652824	1975.423828125	1703.6552122985063	
0B7:FFE	183	4094	1	1597.863602881607	23.895298832547798	20.178096319797618	
0E7:0FF	231	255	1	1865.1336899416542	40.220717271457104	35.2903667932385	
555:000	1365	0	1	10549.566684674264	1186.8955078125	902.5170025109065	
777:000	1911	0	1	10906.517929646678	452.44464111328125	1706.728202076643	
006:FEF	6	4079	1	3270.120898682107	48.62747561315484	41.260815517729576	
FFF:000	4095	0	1	11160.092963335097	1918.2781982421875	1708.7639183045385	
BFB:FFF	3067	4095	1	1249.8108024051182	18.685754429449364	15.767599181069812	
00A:FDD	10	4061	1	5440.359035463829	79.44844838323431	70.94800395357136	
103:FFF	259	4095	1	2686.4667721303176	40.21782682294921	34.10787580043164	
FFF:F77	4095	3959	1	849.08151806612	12.188789391995554	10.214996271508127	
014:FFF	20	4095	1	3647.9839519779616	54.570084431383336	43.45487348102236	
0AF:7FF	175	2047	1	2269.567321433134	40.86903106562516	37.048826810640726	
DFF:FFE	3583	4094	1	1071.6322992352868	16.008249617317656	13.498532605531654	
B7F:7FE	2943	2046	1	1833.8382601834587	32.936534734940004	29.839921771850427	
016:FFE	22	4094	1	3115.963676869838	46.60171666823747	39.61685468495406	
037:FF7	55	4087	1	1921.5454818114908	28.717711146192357	24.333364498707333	
00E:FDF	14	4063	1	2851.196551691096	41.74347104032289	35.99989534181571	
137:FF7	311	4087	1	2189.7643150577196	32.73377184032731	28.239662595667603	
00E:FDD	14	4061	1	2680.221343527396	39.09488967750577	31.766055125427098	
FBF:FFF	4031	4095	1	949.8602394656227	14.205540855305568	11.988830880568662	
177:FFF	375	4095	1	1649.8848123082878	24.71765981591015	22.1693380958686	
1FF:FFA	511	4090	1	980.6069675934561	14.604262408816899	12.329091580800078	
17F:FFF	383	4095	1	1485.1145401611086	22.2324744359364	18.823072859274617	
0AF:7FC	175	2044	1	2248.8985165247614	40.1578570713442	36.37725226848446	
04E:FDF	78	4063	1	2620.555404228849	38.35825435624398	32.50003761390261	
067:0FD	103	253	1	2803.082975581485	58.623079542565904	51.38918217779689	
0E7:0DE	231	222	1	1465.785471109746	25.627862241098033	21.817509025913434	
00E:FFF	14	4095	1	2942.6196114411932	44.06717712588492	38.35107851814891	
015:FFF	21	4095	1	3485.276127529374	52.160379144005354	43.161051369176356	
022:FFF	34	4095	1	3873.1590353569736	58.00960672789492	50.963450447454356	
0F3:1FF	243	511	1	1838.9497229075596	41.4428007219178	37.10227589597677	
002:FF5	2	4085	1	8259.258276791139	123.20933929005287	106.42953838233485	
FEE:FFF	4078	4095	1	934.2040707206584	13.978771398046215	12.273868916146226	
0E7:0F6	231	246	1	1807.370977819137	37.89790907246741	33.139420121164946	
042:FDF	66	4063	1	3165.06071582152	46.3234374903938	38.90699997973784	
375:7FF	885	2047	1	2064.454291646922	37.11931146878162	33.92049989762859	
015:FEF	21	4079	1	3448.4003700521694	51.260081152027595	42.24996048954877	
006:FBF	6	4031	1	3213.7700252724217	46.54167928838643	39.865005365774444	
187:00F	391	15	1	3188.973188757507	80.64219170564164	73.52610529254525	
15F:1FB	351	507	1	3152.8811808682094	68.52628608222406	64.2240338722593	
FFD:FFB	4093	4091	1	781.5599978484423	11.627810441310254	8.622477412707267	
1AF:7FE	431	2046	1	1806.7739626314215	32.444047800545825	29.421619984931716	
37F:7FF	895	2047	1	2004.2870427387077	36.03682881554296	32.73905106684464	
8EE:7FE	2286	2046	1	2662.3489322848695	47.83466773516973	43.26269153761754	
EBF:FFF	3775	4095	1	1044.5631049710094	15.619753515546265	13.172957963267887	
077:F7F	119	3967	1	1467.8917977160636	21.12182342056596	17.776247862966986	
046:FFF	70	4095	1	3130.504928268149	46.86251665927164	39.55576946959505	
077:EFF	119	3839	1	1457.3831747121158	21.031792201153042	17.518022154859878	
002:FDD	2	4061	1	8210.005547539424	119.86845764964316	105.21586101656658	
00E:FF7	14	4087	1	2891.2580987242986	43.21599531035393	37.00886261480551	
043:FFF	67	4095	1	3231.5714354707766	48.374625965214385	40.777208033193624	
1FF:7FE	511	2046	1	1268.8775577743343	22.790827882659254	20.664918357059697	
3DF:7FE	991	2046	1	1608.1876502102402	28.864254470544545	26.219531737884274	
01F:03F	31	63	1	3158.336584918753	68.28668462567887	60.44858246988072	
02F:7FE	47	2046	1	2876.435683606052	51.68875309964737	47.17094868431044	
F7F:FDF	3967	4063	1	946.6647464108285	13.842488629030202	11.643908095864639	
00A:FFD	10	4093	1	5667.439498894409	84.74532238624766	77.02514701806753	
17B:FFB	379	4091	1	1513.4656383457889	22.566462169858124	19.085719495497916	
005:FFF	5	4095	1	3916.2998170773462	58.571917699756185	45.843960986068296	
FFF:FFB	4095	4091	1	886.5463078687524	13.207157471013932	11.135241709764639	
8FF:FFF	2303	4095	1	1894.4135196101606	28.2967003334747	23.829398897761394	
137:07F	311	127	1	3256.337853215072	70.68070283261085	62.38703805988669	
17F:1FB	383	507	1	2285.546634738644	49.73331139323314	44.43760162018719	
023:FFF	35	4095	1	3693.787913448905	55.30273023136647	47.22089542704732	
1DE:7FE	478	2046	1	1459.0541721891173	26.204368975853257	23.758173493902444	
0F5:FFF	245	4095	1	1139.5034002662926	17.057820020456198	14.389464751895026	
002:F7F	2	3967	1	7858.928353430935	113.10047376628762	96.34282612291261	
3FD:7FD	1021	2045	1	1457.6675502948833	26.06220056046359	23.647348897015416	
9FF:FFD	2559	4093	1	1613.7004122013059	24.063871040616267	20.273664836101275	
0E7:0FA	231	250	1	1750.2364307668176	35.694399738871404	31.083845747352246	
0ED:7FC	237	2044	1	1520.216076482751	27.138726044731445	24.538520868915086	
004:FFF	4	4095	1	5479.841525335243	82.12170645034686	75.37968122131532	
003:FF7	3	4087	1	5942.995326942565	88.83471221193018	76.34510236282017	
0AE:7FE	174	2046	1	2272.0359767690234	40.823276565922086	36.9994576712713	
FFF:7FB	4095	2043	1	1134.4385559202094	20.194635595709805	18.262738824225156	
077:FDF	119	4063	1	1477.74577533264	21.6258593363412	18.009667503603406	
4E7:0FE	1255	254	1	2159.0243530479233	45.83942712159867	36.24515481797835	
BFE:FFF	3070	4095	1	1245.1728543606266	18.616553648279172	15.708571373155632	
8AF:7FE	2223	2046	1	2779.2842989570895	49.93534861638601	45.14542092675881	
08F:7FE	143	2046	1	2881.8747265441016	51.7728447018891	46.48598930100984	
0B7:1FF	183	511	1	2731.343210437197	61.593805052018816	59.004493847817706	
1F7:FFF	503	4095	1	1041.2135484275077	15.584567609377562	13.167943299406927	
007:FEF	7	4079	1	2727.078456419193	40.56105852700659	35.00680407212721	
0F6:FFF	246	4095	1	1131.2163849582957	16.93387098830748	14.291847770047156	
002:FDF	2	4063	1	8360.30000107495	122.45221705187369	109.14541686145566	
0C7:0FE	199	254	1	2381.5247715809573	50.51468855278577	44.14677360589564	
005:FFE	5	4094	1	4309.3399430889385	64.46214702828264	55.6411840049935	
036:FFF	54	4095	1	2079.414717023228	31.13094052462303	26.468727244937984	
417:FFF	1047	4095	1	2053.1243847158876	30.672717317542382	24.11447428060812	
1DF:7FE	479	2046	1	1456.3678948550485	26.156201653260972	23.71511040255719	
043:FFD	67	4093	1	3228.832013186676	48.23411517856795	40.70978256270123	
017:FFF	23	4095	1	2820.6166090101733	42.22740801306285	35.89840359258513	
046:FDF	70	4063	1	3046.686604899659	44.59112635651851	37.46558415626727	
0BF:7FE	191	2046	1	1863.5136414801627	33.48349508960995	30.371074825558722	
0A7:0EE	167	238	1	2777.0585554218455	58.87527525545215	51.65367956828626	
00B:FD5	11	4053	1	4097.948479134542	59.691965903858744	49.64788844779148	
002:FFF	2	4095	1	8508.537708437665	127.4510135002257	113.02689151564186	
0BF:5FE	191	1534	1	1372.6011649474272	18.57771793552072	16.476682651861015	
0AF:7BE	175	1982	1	2072.351731178468	34.451556846134594	30.887556100211917	
006:FDD	6	4061	1	3219.9349728602197	46.99395225410596	40.01080510309851	
8EF:7FE	2287	2046	1	2652.6517079650703	47.657885251168935	42.96036517218226	
0AF:7F6	175	2038	1	2252.1551188342623	40.26127948991168	36.48293367681508	
0AF:5DE	175	1502	1	1521.1344575188104	18.981281128692455	16.64764651450213	
02F:7FF	47	2047	1	2899.7637330149623	52.22804771364124	47.94823708026002	
003:FD5	3	4053	1	5734.82684863601	83.55820358982555	71.07985369191839	
7FD:7FF	2045	2047	1	1212.8426407499028	21.81159010034219	19.773745084087448	
08F:77E	143	1918	1	2780.206848702667	47.73756395180871	43.2840530965755	
00B:FFD	11	4093	1	4383.939738677615	65.51330625130093	56.87400652651277	
0A7:7FE	167	2046	1	2417.4055460662476	43.43571666826421	39.39411925684814	
004:FFE	4	4094	1	5212.231717230378	77.98013039717944	68.10670395948485	
077:FFF	119	4095	1	1536.7170153675486	23.00504271603318	19.48175303423915	
0E7:FFF	231	4095	1	1240.6186517875942	18.5714475558998	15.665019619351416	
1FD:FEF	509	4079	1	985.9398017403146	14.658309730923206	12.366545136834594	
0AE:1FE	174	510	1	2805.706384411366	62.81076140046444	56.2265383537944	
8E7:0FC	2279	252	1	3022.0263110963174	62.74433768522909	54.71888341490391	
087:00F	135	15	1	4325.830891523691	109.31628778431647	96.71255267354968	
067:0FF	103	255	1	2853.112804130415	61.50338612780484	53.19765634132163	
0E9:7FC	233	2044	1	1555.0318562985335	27.760479773060265	25.124048771508974	
0AF:5FF	175	1535	1	1672.7123798820814	22.694613840731257	20.122031534239444	
17F:FEB	383	4075	1	1464.9501431831598	21.69337577586338	18.315014886585345	
FF7:7FF	4087	2047	1	1088.9688572788386	19.58118579685051	16.744869885491994	
00A:FD5	10	4053	1	5199.087262082721	75.7563665680211	64.7222440410747	
067:0FE	103	254	1	2698.7773996856904	57.25610479606333	47.541804478360376	
3FF:7FF	1023	2047	1	1515.6638331369923	27.28291227376729	25.718020100371106	
4AF:1FE	1199	510	1	2989.8447389921635	67.05885062729394	59.9125919681167	
067:0FB	103	251	1	2781.6930943457564	57.275427720749185	50.63265762961439	
0EF:7FE	239	2046	1	1458.7809640888395	26.18878963807283	22.820075834746913	
0EF:0FC	239	252	1	1691.192978145436	35.04221789785452	30.58683239416786	
067:0EE	103	238	1	2855.7930504717506	60.63329465805576	53.32742718501418	
002:FF7	2	4087	1	8687.439117711603	129.9508372666457	117.90248001211965	
003:FFD	3	4093	1	5929.915646815859	88.60267161466108	76.00597617869337	
FED:FFF	4077	4095	1	897.2052065238307	13.418997072478916	11.304145451324183	
077:F9F	119	3999	1	1430.285525983124	20.231262785986907	16.874809597693748	
107:003	263	3	1	5462.617992220983	156.6218369708014	142.22102359363268	
1FD:7FD	509	2045	1	1273.3029045507185	22.77892447029738	20.64738279688151	
