BMLVN	12	x2	MULTI	ch1.0
metabolism	0.9970000
mutations	0.0000100
catastrofic	0.0010000
minWeight	0.1
start biomas	2.0	_
env.size	25000.0
feedSourceH	0FF
0C7
0B5
023
011
feed port max	35000.0	limited
timeQuant	0.01

key	suscepBits	activeBits	maxsize	popBiomas	currincome	currloss
200:000	512	0	1	11698.472833765227	170.6846466064453	110.55682040508793	
9FF:FFF	2559	4095	1	1982.433282235649	11.13849582895541	5.555014252241497	
FFF:000	4095	0	1	5900.114996176854	68.84966278076172	148.13982125049031	
0F0:000	240	0	1	9673.903918899294	298.36187744140625	155.99546850521446	
555:000	1365	0	1	8209.063309113419	257.839111328125	144.27239606591777	
0FF:000	255	0	1	8565.07478421976	301.3326110839844	131.5897407640712	
1E7:0FE	487	254	1	1726.489420896928	9.571192431020307	4.216730292914944	
10F:02E	271	46	1	5542.4064310146405	30.476248870694988	8.908130758080418	
FFF:FBD	4095	4029	1	722.2398167648968	3.9678902240755636	1.7387292949887685	
007:00E	7	14	1	3017.5645609159906	19.003940008151023	2.0610237876121973	
CFF:3FF	3327	1023	1	722.9376770354172	3.2404512263685987	1.2497656571029565	
067:0FC	103	252	1	3569.1410094338717	19.28152018180979	9.64432455420035	
007:02E	7	46	1	3898.198388098857	21.315739544481154	3.60943124128101	
BFE:FFF	3070	4095	1	1475.5132723330855	8.311428490830405	4.452267877827227	
7BF:FEF	1983	4079	1	975.8048576273334	5.488562188533777	2.9702608821040806	
00F:000	15	0	1	18878.77928563378	222.50997924804688	225.1920824636713	
EBF:FFF	3775	4095	1	1104.6135591069901	6.232395150428066	3.563272176345	
400:000	1024	0	1	10203.564612271357	280.8104248046875	170.21703822197176	
001:000	1	0	1	25000.0	267.3540954589844	0.0	
800:000	2048	0	1	10338.123173082497	165.07366943359375	124.93335646681082	
06F:0FE	111	254	1	2672.7002651137846	14.740917036811425	6.590803499358954	
FEB:FFF	4075	4095	1	862.1860901653347	4.868072736198685	2.458824258832622	
0E7:0F6	231	246	1	1451.1071883543761	7.882775656127187	3.587276546997743	
8FF:7FE	2303	2046	1	1103.5428847225169	5.790270355109779	1.7760316018977509	
7D7:FFF	2007	4095	1	920.799884654887	5.204046204360163	2.675221812875188	
FFB:FFB	4091	4091	1	763.5429556911683	4.305251936072187	1.9398469586084608	
7FF:FF7	2047	4087	1	820.5180552805016	4.631010274109186	2.292028423340912	
22F:0FE	559	254	1	2935.304108991063	16.334346907842114	7.583151740343326	
D7F:FFF	3455	4095	1	1171.6779812635673	6.60849887694005	3.4817475828635693	
CE7:0FE	3303	254	1	1083.9812505060718	6.031995629099137	2.776734838830111	
BF7:FFF	3063	4095	1	1415.2790250381927	7.974103660267834	4.081239624602731	
02F:7FD	47	2045	1	2276.0112802537524	11.9408379753854	4.100100900849298	
3FF:7FF	1023	2047	1	1149.6825529578655	6.02911097006046	2.6024929023070804	
ABF:7FF	2751	2047	1	1542.170741652995	8.104745525358394	3.711178677903928	
7FF:FFF	2047	4095	1	880.9982383512886	4.979955338347333	2.6430106267312685	
03F:00E	63	14	1	1473.1942823200734	9.347580536715332	1.5150231283216695	
005:00E	5	14	1	6238.975585446216	38.74496187904442	4.255991508571582	
375:7FD	885	2045	1	1451.263092299104	7.594404670135101	2.9123551051954206	
3FF:FFE	1023	4094	1	1446.4055745302285	8.16864534071323	4.127907675335196	
7FF:FDF	2047	4063	1	747.6187842060313	4.175278742646585	1.9025107456494121	
F7F:FEF	3967	4079	1	944.5827586689056	5.30660199481777	2.830633739855655	
FFF:FCF	4095	4047	1	766.8030508713227	4.25883657456818	1.959814166443476	
FFF:FFD	4095	4093	1	881.4710639842314	4.974241341913499	2.5897649962080647	
02F:00E	47	14	1	1483.4389597057116	9.409752937234718	1.7202362658623047	
FF7:FBF	4087	4031	1	912.3165075871057	5.0132230614358715	2.766851896497708	
777:000	1911	0	1	7770.076920643056	300.1934509277344	177.32973673148334	
EFB:FFF	3835	4095	1	921.6209458267606	5.202361655370032	2.5434164589504937	
2EF:7FF	751	2047	1	1565.5429634732475	8.206328928327633	3.993150913141276	
EFF:7FF	3839	2047	1	853.5230855629054	4.482294103426296	2.1918382648671564	
7FF:EFF	2047	3839	1	765.1104244327331	4.069297628691251	1.9943766244166423	
