BMLVN	12	x2	MULTI	ch2.0
metabolism	0.9970000
mutations	0.0000100
catastrofic	0.0010000
minWeight	0.1
start biomas	2.0	_
env.size	25000.0
feedSourceH	0FF
0C7
0B5
023
011
feed port max	50000.0
timeQuant	0.01

key	suscepBits	activeBits	maxsize	popBiomas	currincome	currloss
22F:00E	559	14	1	1606.6809669571526	6.69145415387373	1.7953066728233402	
027:0EC	39	236	1	5174.5536901926425	23.183820901203532	10.279380949598245	
005:00E	5	14	1	6113.0789006875375	24.62595675698617	6.464692707694597	
9FF:7FE	2559	2046	1	1976.3723170515998	9.540736602864913	3.2888380109052835	
1DE:7FE	478	2046	1	1505.9837368817082	7.257764581468965	2.6068288842357994	
067:0FA	103	250	1	2601.484265620973	11.460825779891525	4.012539744367734	
BFF:FDF	3071	4063	1	1156.6280537885777	5.4594546015884395	1.7518290241663135	
FFD:FFF	4093	4095	1	729.2903384132225	3.5057260047262977	1.25160314070433	
02F:7FE	47	2046	1	2706.012552886098	13.067200488804874	5.377066792165194	
00F:000	15	0	1	14609.377809728347	85.79638671875	188.59614915758578	
045:00E	69	14	1	3604.7969560575375	15.015602869790705	4.620710113467623	
8E7:0FE	2279	254	1	2317.788957853544	10.722682308941536	4.034739690361561	
8EF:7FE	2287	2046	1	2501.919770829676	12.081635437771984	4.969202995254609	
8EE:7FE	2286	2046	1	2067.5398555356774	9.980596464441788	3.390147803176087	
F7F:FDF	3967	4063	1	748.0884884856117	3.536985515351869	1.2416952917771664	
777:000	1911	0	1	9693.859023878455	325.7367248535156	233.7953966334229	
0E7:0FE	231	254	1	1234.1333762271229	5.682651452197472	2.2008501600196975	
0AF:7EE	175	2030	1	1784.9023018605315	8.44332046217989	3.1318845925884666	
0A7:0FE	167	254	1	1521.8168454940562	7.001315383206507	2.09394271853144	
BFF:FFF	3071	4095	1	949.8743374697582	4.561758322189763	1.1827527915786011	
9FF:FFF	2559	4095	1	1694.1340683463495	8.1071844556715	2.366928068343576	
0FF:000	255	0	1	11763.241716101335	466.659912109375	209.315467213983	
0AF:7FF	175	2047	1	1778.0888851509108	8.595697067516786	3.107330508670929	
FFF:000	4095	0	1	10331.549520876753	173.27517700195312	258.37227571011437	
0AF:5FC	175	1532	1	1264.5088811783846	5.683887355162803	1.567438379211792	
004:00E	4	14	1	6174.5538620707985	24.648065181953957	8.16430389146284	
3E5:7FF	997	2047	1	927.2918114495546	4.4751110449446205	1.3175130175658232	
AFF:7FF	2815	2047	1	1442.3915790281872	6.966940740718497	2.3040875617500114	
FFF:FF7	4095	4087	1	630.5497931331023	3.025812180029188	0.9365374987577054	
BFB:FFF	3067	4095	1	1462.8443732578435	7.008318106273528	2.789503071320705	
0E5:0FE	229	254	1	1181.6609651623355	5.442942348126488	2.00704915984502	
EFF:7FF	3839	2047	1	715.7500916360519	3.4568419318351147	1.0678480003096136	
027:0FC	39	252	1	3158.8458137646458	14.270999314775054	3.8744685016046088	
007:02E	7	46	1	2543.9251338572967	10.25959795798439	2.1742212359263626	
EFF:FBF	3839	4031	1	769.1080538996298	3.5319708772153233	1.2299059400475822	
02F:0FE	47	254	1	2256.17925308363	10.404208588537005	3.704417423378239	
FBD:FFF	4029	4095	1	629.1053207239718	3.0247209970248434	0.9045372569912141	
7FF:FDF	2047	4063	1	485.5104653140356	2.298147155583793	0.6725441004286539	
007:00E	7	14	1	4710.247819980961	19.011583275974882	6.949075990845625	
02F:7FD	47	2045	1	2677.6655622902226	12.925428781569227	5.26480057846692	
0E7:0FC	231	252	1	986.1238966097463	4.463010516836832	1.4080082721197835	
0ED:7FC	237	2044	1	1453.1063607195224	7.001026660196164	3.2011819677341093	
4E7:0FE	1255	254	1	888.2151557705336	4.107193653948169	1.5324235487411448	
027:0FE	39	254	1	4453.254571291698	20.39622419056291	7.633006117851135	
2FF:7FF	767	2047	1	1126.5430991785745	5.436283133384158	1.726217680300177	
7FF:FFF	2047	4095	1	600.361570973702	2.889310685197848	1.028517725659805	
1EF:7FE	495	2046	1	1503.5560797072353	7.246832021238202	2.837594957967473	
3FF:FFF	1023	4095	1	1111.497167192056	5.34735572160948	1.991615052803087	
DFE:FFF	3582	4095	1	718.8730400414012	3.4552588756174365	0.9609829195779496	
