BMLVN	12	x2	MULTI	
metabolism	0.9970000
mutations	0.0000100
catastrofic	0.0010000
minWeight	0.1
start biomas	2.0	_
env.size	25000.0
feedSourceH	0FF
0C7
0B5
023
011
feed port max	35000.0
timeQuant	0.01

key	suscepBits	activeBits	maxsize	popBiomas	currincome	currloss
777:000	1911	0	1	7405.630648259085	28.477663040161133	174.4820581922122	
047:00E	71	14	1	3366.8250617601607	9.87806072390388	4.28268688980514	
0F0:000	240	0	1	8898.24514680525	205.87953186035156	118.82362430146594	
FFF:FFD	4095	4093	1	826.2566291923737	4.911169077876982	2.3856431503643294	
FF7:FFF	4087	4095	1	902.7460654449696	5.368054803502477	2.8395636330446408	
001:000	1	0	1	21272.031395933886	60.603939056396484	0.0	
03F:00E	63	14	1	1196.2040806184243	3.5023263366713873	1.1186028894651505	
400:000	1024	0	1	10641.821299435793	42.0302734375	197.77346605387876	
200:000	512	0	1	12342.067208593218	150.86151123046875	125.08383598900383	
FFF:000	4095	0	1	6355.005522338901	129.42752075195312	143.14098967307075	
0EF:7FC	239	2044	1	1297.178362861836	7.076982770372735	2.745420806068688	
800:000	2048	0	1	10667.027676836453	50.765472412109375	147.88189131224416	
0FF:000	255	0	1	8109.686571533327	143.0410919189453	110.51602980958819	
03F:02E	63	46	1	2324.126077702957	9.53133899097884	4.095799304081613	
FFB:FEF	4091	4079	1	911.9666550431964	5.397170793435949	2.9027810112738517	
0A7:0EE	167	238	1	2322.42964174444	11.669183760522822	5.290157945405361	
FFF:6FF	4095	1791	1	527.791337280378	2.6159753930757104	0.9759722790673948	
FFB:FF7	4091	4087	1	895.593164490999	5.317620236173537	2.799241206031207	
0C7:0FE	199	254	1	2348.6412235504486	11.901220784594548	5.940103804215714	
FFD:FFF	4093	4095	1	954.6335589465949	5.676177152055394	3.1834428474486534	
00F:000	15	0	1	10609.334128041113	131.51844787597656	85.43583787196201	
AFF:7FF	2815	2047	1	1368.7371590604826	7.485204544582976	3.594269652618112	
02F:02F	47	47	1	2155.3720571557305	9.355788662426276	4.084415533920037	
EFE:FFF	3838	4095	1	993.4150853467777	5.90536686986241	3.112080228427731	
CFF:7FF	3327	2047	1	1020.0419046267056	5.577111370678955	2.635699498587814	
7FF:FEF	2047	4079	1	811.8218266896848	4.809032384978635	2.251924282363728	
3E5:7FF	997	2047	1	1324.4319498180143	7.2277363952504325	3.256831974009184	
FBF:7FF	4031	2047	1	685.4551712232	3.7471331255369944	1.605690604586761	
FFF:7FF	4095	2047	1	798.4597670133155	4.365656434917936	2.2339055848330434	
ABF:7FF	2751	2047	1	1567.5101340786487	8.577339138121387	4.17740892551567	
7D7:FFF	2007	4095	1	911.6532833421201	5.425630297652717	2.650560703694345	
FED:FFF	4077	4095	1	730.2373605099106	4.342906257404827	1.8506480460896595	
00F:00E	15	14	1	1921.0429135921402	5.530956238866998	2.710956290490729	
FFF:FFB	4095	4091	1	936.5616957993618	5.560796879906932	3.0659875964737795	
FF9:FFF	4089	4095	1	951.6437363060973	5.658413746667737	3.158865323173775	
7BF:FFF	1983	4095	1	1015.5781901511233	6.0443962562044	3.2499089269488364	
BFB:FFF	3067	4095	1	1460.1249635048584	8.66454669545318	4.6477613500172685	
DFF:FEF	3583	4079	1	1045.6585853417923	6.184998709401056	3.1035901644307744	
02F:7FF	47	2047	1	2707.091811915191	14.810214726878161	6.688782675798367	
8BF:3FE	2239	1022	1	1139.2033579313843	5.132371416011002	1.7824902444423638	
027:0EC	39	236	1	3920.372746306237	19.473478293359936	8.90596216801913	
FFB:FDF	4091	4063	1	880.0226638725676	5.164226202931061	2.703092866660126	
027:0EE	39	238	1	4957.352621531543	24.915920557153132	14.169023871530882	
FFE:FFF	4094	4095	1	917.3274401535402	5.4546773781732	2.940530794596535	
0AF:7FA	175	2042	1	2064.6960209820127	11.24841777262168	4.63249676772084	
FBF:FEF	4031	4079	1	913.6449951368467	5.406879496123547	2.8469493463567592	
085:00E	133	14	1	1400.2120121665203	4.107063603154738	1.4136152953223051	
EF7:7FF	3831	2047	1	750.4771086389451	4.102625557605904	1.7753008942387218	
BFF:FFE	3071	4094	1	1429.571752584097	8.481126895808604	4.464063063780492	
5FF:FFF	1535	4095	1	1162.7688200598009	6.919941182291292	3.6615059065219815	
F7F:FFE	3967	4094	1	914.088660368039	5.433024900772645	2.7788763039127193	
FF7:FBF	4087	4031	1	839.4986071822576	4.851876486320039	2.456217210760911	
555:000	1365	0	1	8628.286385883934	144.02239990234375	140.40103230279774	
FDB:FFF	4059	4095	1	839.5464332918804	4.992537312673076	2.429818992311623	
22F:00E	559	14	1	1418.6004377688846	4.1620568954168595	1.7939422899259623	
1AF:5FE	431	1534	1	1289.987470605317	6.1850978625935085	1.8448626095729916	
DFF:FDF	3583	4063	1	1093.2827629930932	6.411243128248992	3.3932921296287084	
3FF:FFE	1023	4094	1	1555.752475095392	9.251858419717232	4.715555538148257	
7FA:FFF	2042	4095	1	890.7722341296499	5.302192417027798	2.70311808338256	
1DF:5FE	479	1534	1	1113.0476815949874	5.338176037332494	1.598472195590581	
8EE:7FE	2286	2046	1	1741.8184179770337	9.522106058699428	4.365186740830622	
004:00E	4	14	1	7512.029115283222	20.096689300771505	8.800518785414122	
EFB:FFD	3835	4093	1	964.5213352462171	5.730959065614316	2.929631616258479	
DDF:FFF	3551	4095	1	1161.9958496124584	6.90376837784194	3.779847852992147	
27D:7FF	637	2047	1	2212.1908244641304	12.04595048252825	4.888856321930452	
27F:7FF	639	2047	1	2269.193709409584	12.354052257487313	5.155868792589448	
1BF:FFE	447	4094	1	2531.7753849540445	15.051291523270452	7.487456141210948	
FBF:FDF	4031	4063	1	807.4510630125234	4.738545469527335	2.2233328252454765	
02F:7FD	47	2045	1	2889.5701498958365	15.794012409175332	7.623552703498922	
205:00E	517	14	1	1574.1067203535056	4.618479007783831	2.0520295284064005	
7FF:F7F	2047	3967	1	890.8539930785363	5.159443666105291	2.7138794342911927	
FFF:FBD	4095	4029	1	856.312650592875	4.946814761620473	2.5635641394838595	
