BMLVN	12	x2	MULTI	
metabolism	0.9970000
mutations	0.0000100
catastrofic	0.0010000
minWeight	0.1
start biomas	2.0	_
env.size	25000.0
feedSourceH	0FF
0C7
0B5
023
011
feed port max	50000.0	limited
timeQuant	0.01

key	suscepBits	activeBits	maxsize	popBiomas	currincome	currloss
FFF:000	4095	0	1	9195.626370633725	126.6126937866211	192.2145220401039	
0FF:000	255	0	1	11325.64874045967	266.367431640625	174.80631206911974	
00F:000	15	0	1	16045.470726598704	84.06346893310547	212.2868056799338	
777:000	1911	0	1	10026.894107309543	147.2637939453125	247.45938972495935	
555:000	1365	0	1	11074.601348174616	218.54678344726562	220.95040189119499	
FFF:FFF	4095	4095	1	520.0456812818884	2.1613204267257835	0.6002357506382503	
FEF:FFF	4079	4095	1	524.8777181402511	2.1813746568442443	0.6071233819600131	
DFF:FFF	3583	4095	1	618.759964449476	2.5707555382164626	0.6688477558120228	
FBF:FFF	4031	4095	1	567.9856511490378	2.3602956664901593	0.6948588517895318	
FFF:F7F	4095	3967	1	382.93887346067135	1.550657164511147	0.32568168127974306	
FFF:7FF	4095	2047	1	581.2655209390554	2.653936719251959	0.7507052577132931	
FF7:FFF	4087	4095	1	524.9697872617783	2.181761349817241	0.6094976471543201	
FFF:FFE	4095	4094	1	498.81917169635494	2.0718501670527107	0.5522724412912511	
FFF:FF7	4095	4087	1	524.8772743852735	2.1780366253168397	0.6114449354041092	
FFF:FFD	4095	4093	1	507.34075735184757	2.106917761893057	0.5712908380453972	
FFB:FFF	4091	4095	1	499.01311835069134	2.073981076226168	0.5517660642505294	
FDF:FFF	4063	4095	1	531.2385168364723	2.207774665349849	0.6173977769236924	
FFF:FFB	4095	4091	1	484.9259558232102	2.0101981544772993	0.5219668478109862	
FFD:FFF	4093	4095	1	547.6793266045865	2.2760466592378656	0.665178696417799	
EFF:FFF	3839	4095	1	499.13497061429086	2.074344600959312	0.488041264405749	
FFB:FFD	4091	4093	1	532.1538629101067	2.209863380782286	0.6274355000365387	
7FF:FFF	2047	4095	1	402.45644090069857	1.6737201940162718	0.43744071068276064	
BFF:FFF	3071	4095	1	1038.1171680651985	4.306043742795029	1.3207889131358104	
FDF:FDF	4063	4063	1	406.3897752075109	1.6637508062109114	0.36146967746952996	
9FF:FFF	2559	4095	1	1478.9862865626758	6.120727468717648	1.6756396743912658	
FEF:FEF	4079	4079	1	497.3796676390249	2.0496125487490464	0.5452491973011927	
FFF:FF5	4095	4085	1	469.01505270230734	1.9448852061439446	0.4882988997525522	
F7F:F7F	3967	3967	1	427.5969688207912	1.7312923269387033	0.38258339923152196	
FEE:FFF	4078	4095	1	543.3479929258025	2.2580576665283463	0.6504500355149652	
FEF:FF7	4079	4087	1	403.1369054329599	1.6731301097432956	0.35828035550075377	
FBF:7FF	4031	2047	1	225.31132401406614	1.028417645629103	0.10945794072340845	
DFE:FFF	3582	4095	1	687.3159577792916	2.8550654087870933	0.8248216182744789	
FFF:F7D	4095	3965	1	344.629792300508	1.3945618470065029	0.2638063784782318	
AFF:FFF	2815	4095	1	993.5014273133	4.121989270787952	1.0098162274136713	
DFF:FFB	3583	4091	1	619.5659440288828	2.5673539975586372	0.6706076822378257	
BFF:FF7	3071	4087	1	846.9947218912685	3.5107354486281532	0.8804957763142215	
FE7:FFF	4071	4095	1	428.8145437727371	1.7823844618567626	0.403906974199568	
5FF:FFF	1535	4095	1	561.5978455870413	2.335537889783295	0.6877455817143454	
FBE:FFF	4030	4095	1	501.60416679303745	2.0847067109121635	0.5419365878008651	
EBF:FFF	3775	4095	1	548.3782486873602	2.2787529303159886	0.5702112905410912	
DF7:FFF	3575	4095	1	584.9677835740863	2.4305448471251734	0.5953674268914986	
FFF:FDD	4095	4061	1	505.05525484311175	2.0658752886113665	0.5662457664741383	
FDF:FEF	4063	4079	1	345.574688975517	1.424282077672638	0.26141873283186623	
DFF:FF7	3583	4087	1	469.04595328545474	1.9463104628223669	0.384606458144907	
DFF:FFD	3583	4093	1	689.7658031836752	2.862982860910313	0.8309045919565731	
DEF:FFF	3567	4095	1	632.9719827787792	2.629701219998598	0.6939839466388705	
FF5:FFF	4085	4095	1	439.95233945765983	1.8286627515275147	0.42785567884314507	
FFF:7FE	4095	2046	1	658.914352941571	3.004712929981622	0.9647442618021013	
FFF:FFC	4095	4092	1	489.2904162611424	2.030714837903322	0.5313926446891806	
FFF:FEB	4095	4075	1	461.9800081468508	1.8988495941742596	0.4738078382566272	
FBD:FFF	4029	4095	1	531.649387010003	2.2094593039971344	0.6084057664854758	
DBF:FFF	3519	4095	1	651.2075510085697	2.7053050585036913	0.7148684657043008	
FFF:7FB	4095	2043	1	488.5288561085988	2.2191494401137235	0.5302594344422001	
FFF:FDE	4095	4062	1	489.3700585445501	2.0020231692242114	0.5316423794018358	
DFF:FDF	3583	4063	1	624.7800459421335	2.55662820218239	0.6820270331825848	
FBF:FFE	4031	4094	1	520.5048098975333	2.16180385128434	0.5836278759975269	
7FF:FFE	2047	4094	1	465.6788088804034	1.9355335247898435	0.5857657463907627	
FBF:FFB	4031	4091	1	500.89979545753226	2.0763270863201453	0.5405329066803853	
FFE:FEF	4094	4079	1	503.1923653621875	2.073569668893317	0.5619329238480993	
EFF:F7F	3839	3967	1	455.9141657744289	1.8459061391368279	0.4073838691800782	
DFB:FFF	3579	4095	1	690.8934037036512	2.8698938415880733	0.8319264256185223	
FEF:7FF	4079	2047	1	608.3080741425989	2.7774124396090145	0.8164198269647888	
FFF:FE7	4095	4071	1	468.3755175361685	1.9257215341144982	0.4870089904983457	
FF6:FFF	4086	4095	1	502.4929507942951	2.0884297566671286	0.5583554315888654	
DFF:FEF	3583	4079	1	568.0614134031222	2.3403349285194937	0.563914735157201	
EEF:FFF	3823	4095	1	593.9068343537223	2.467731663775442	0.6854133176903224	
F7F:FFD	3967	4093	1	588.9811180893785	2.4454779404183413	0.7254180775104934	
FFF:FF3	4095	4083	1	454.3946598296766	1.8779908234965819	0.4583622377861627	
