BMLVN	12	x2	MULTI	
metabolism	0.9970000
mutations	0.0000100
catastrofic	0.0010000
minWeight	0.1
start biomas	2.0	_
env.size	25000.0
feedSourceH	FFF
0FF
00F
777
555
feed port max	50000.0	limited
timeQuant	0.01

key	suscepBits	activeBits	maxsize	popBiomas	currincome	currloss
FFF:000	4095	0	1	10337.178736567826	6.620228290557861	249.235853734034	
0FF:000	255	0	1	12664.591349051627	409.1697692871094	194.36183261760743	
00F:000	15	0	1	14831.283517828639	433.55828857421875	149.0717610764041	
777:000	1911	0	1	9314.49512561914	40.5010871887207	213.34013441948804	
555:000	1365	0	1	9429.086612484458	95.7537612915039	158.94477484313506	
FFF:FFF	4095	4095	1	547.4773106278559	2.3318255550128177	0.6608136321514745	
FEF:FFF	4079	4095	1	530.3759284023306	2.259049237667447	0.6158813159663541	
DFF:FFF	3583	4095	1	581.3773877083732	2.4757659896171407	0.5872763262680366	
FBF:FFF	4031	4095	1	547.9392261998737	2.333750986690397	0.6428198609710675	
FFF:F7F	4095	3967	1	456.6891916822546	1.8872884043504692	0.4601039753710982	
FFF:7FF	4095	2047	1	651.4865231156549	2.8192643279867386	0.9375582093200162	
FF7:FFF	4087	4095	1	453.2268120282668	1.9306708271964113	0.451423933273974	
FFF:FFE	4095	4094	1	530.0207605727884	2.25624011247912	0.6193792193807952	
FFF:FF7	4095	4087	1	530.6234828263835	2.256005950291003	0.6207982757144331	
FFF:FFD	4095	4093	1	311.46428418367685	1.3258813042494226	0.2140216297603794	
FFB:FFF	4091	4095	1	490.21746341743005	2.088143756957998	0.5290184582982118	
FDF:FFF	4063	4095	1	226.75493510078022	0.9660105373178489	0.11187490011046046	
FFF:FFB	4095	4091	1	643.3058792348315	2.7328849637424804	0.9121662263920516	
FFD:FFF	4093	4095	1	475.69340157164555	2.02631967426225	0.49863092835463546	
EFF:FFF	3839	4095	1	436.3849706843801	1.8588428523296032	0.37127843728464494	
FFB:FFD	4091	4093	1	527.5421873951666	2.245249161469027	0.612583161974725	
7FF:FFF	2047	4095	1	395.55173705186786	1.6858632099021544	0.4128631877840572	
BFF:FFF	3071	4095	1	939.6410473546168	3.996501023704991	1.0841584208925665	
FDF:FDF	4063	4063	1	363.21546458171787	1.5231821576448663	0.28696068532267893	
9FF:FFF	2559	4095	1	1239.3465353455065	5.264327926634017	1.1895612540559206	
FEF:FEF	4079	4079	1	512.2707639514575	2.165004346172725	0.5746108384608809	
FFF:FF5	4095	4085	1	435.44452335848166	1.8501522916094757	0.4181804176889352	
F7F:F7F	3967	3967	1	465.98892478095655	1.9255351724910983	0.45177694403064633	
FEE:FFF	4078	4095	1	502.63280966540725	2.1409814905407556	0.5530750569611835	
FEF:FF7	4079	4087	1	402.096751017285	1.7098383015439051	0.3541286279485345	
FBF:7FF	4031	2047	1	225.16569846853187	0.9741360731604385	0.10873534779151987	
DFE:FFF	3582	4095	1	592.2613495955084	2.5220568609376235	0.609296407031583	
