BMLVN	12	x2
metabolism	0.9970000
mutations	0.0000100
catastrofic	0.0010000
minWeight	0.1
start biomas	2.0	_
env.size	25000.0
feedSourceH	FFF
feed port max	350000.0
timeQuant	0.01

key	suscepBits	activeBits	maxsize	popBiomas	currincome	currloss
042:FFF	66	4095	1	576.3353923876282	10.229703446083757	0.002556217597240041	
003:FFD	3	4093	1	778.3751786822228	13.807711415178407	0.0024756056977893893	
777:000	1911	0	1	25000.0	2106.084716796875	137.07139538160263	
AFF:7FD	2815	2045	1	579.692984423844	12.652131269084029	0.02837605871680218	
0EF:7FC	239	2044	1	541.9159146282565	11.815237873583284	0.013959627550677754	
BFF:FFE	3071	4094	1	26.394979569811824	0.4682359694268944	7.318192102913665E-5	
FDF:FEF	4063	4079	1	170.16756676205168	2.9933718428559377	0.005313915065159269	
7FF:FFB	2047	4091	1	116.58933374593235	2.0648080490495393	0.0031424041768644143	
0F7:0FE	247	254	1	294.33007012978743	2.9415940022492935	0.004074775541322372	
37D:7FF	893	2047	1	1470.102713500735	32.1069836699179	0.1973069751492786	
014:FFE	20	4094	1	914.8754612348189	16.229491503272282	0.0010554430250590454	
077:1FF	119	511	1	208.23049164324962	1.9416152447345678	6.428604245258833E-4	
0E7:0FF	231	255	1	345.84901354278634	3.470612708627137	0.005132239241924219	
00F:000	15	0	1	25000.0	1324.738037109375	13.762361985502517	
FFE:FEF	4094	4079	1	198.60632338164285	3.4936182909713906	0.007331039053943671	
087:00F	135	15	1	908.7049472847052	9.124440242990593	0.013073403548439513	
3FD:7FD	1021	2045	1	558.5167992129121	12.189154972763877	0.03700165405298247	
5FF:FFF	1535	4095	1	230.23903699582084	4.086721215666719	0.009320602404926008	
FFF:000	4095	0	1	24918.954442099868	115.53084564208984	121.59406881808692	
077:FFD	119	4093	1	426.31793667752856	7.562541661433394	0.0027852067018345854	
0FF:000	255	0	1	25000.0	2037.6171875	33.81248165395329	
013:03F	19	63	1	256.2731043225365	1.3091449013735557	0.0	
036:FFF	54	4095	1	532.1074448462455	9.444683387614731	0.0027467541889061578	
0F6:1FF	246	511	1	240.35414823968873	2.2411012500791734	0.002873324004156681	
187:00F	391	15	1	415.93585166579686	4.176494087016181	0.00807435249479246	
08F:7FE	143	2046	1	1351.0140241285944	29.491431817686255	0.03378408987715821	
015:FEF	21	4079	1	673.6815802476557	11.850482864878629	6.010914320806087E-4	
0F7:0FF	247	255	1	79.47826183578056	0.7976858561694193	3.1756541180760967E-4	
FBF:FFE	4031	4094	1	231.81480911210082	4.1122741098899525	0.009588636041876063	
02F:7FF	47	2047	1	3512.652423386646	76.75859981952175	0.16996887248256326	
40A:FDF	1034	4063	1	102.88679418082376	1.8090772631523695	0.0012082269107279579	
015:FFF	21	4095	1	80.10110398831092	1.4217537454054776	8.49507982578641E-6	
555:000	1365	0	1	25000.0	3380.56103515625	98.38973407536817	
037:FF7	55	4087	1	287.9260213428862	5.10943118447575	8.064261906616499E-4	
036:FF7	54	4087	1	303.05095419596233	5.377833526175415	8.909512661840727E-4	
0BF:1FE	191	510	1	208.78906572721266	1.9378782969040023	9.859089576577493E-4	
02F:7FE	47	2046	1	3055.1229163938374	66.69174547647607	0.12857922361007554	
2FF:7FF	767	2047	1	48.07067078809036	1.0503953364299883	2.156368822802959E-4	
002:FD5	2	4053	1	522.411803262021	9.17812332334021	7.436813198596232E-4	
016:FFF	22	4095	1	312.90044205991035	5.553828949278084	3.5400668366492076E-4	
375:7FF	885	2047	1	444.0266254650241	9.702274472505136	0.019153866719132603	
0AF:0FE	175	254	1	875.0581051822551	8.739532920092065	0.009220600145183486	
2FD:7FF	765	2047	1	65.09665505689846	1.4224327483044712	3.9388057569994794E-4	

