BMLVN	12	x2
metabolism	0.9970000
mutations	0.0010000
catastrofic	0.0010000
minWeight	0.1
start biomas	2.0	_
env.size	25000.0
feedSourceH	800
400
200
0F0
001
feed port max	25000.0
timeQuant	0.01

key	suscepBits	activeBits	maxsize	popBiomas	currincome	currloss
800:000	2048	0	1	13530.598194340215	168.34390258789062	89.08105116166271	
400:000	1024	0	1	13825.904359249316	73.2865219116211	91.15472250338307	
200:000	512	0	1	17149.059864198487	249.2921600341797	67.84211581543921	
0F0:000	240	0	1	25000.0	185.88397216796875	33.415154128027936	
001:000	1	0	1	24932.369117931474	53.11518859863281	0.0	
FFF:FFF	4095	4095	1	1359.8795247198743	6.418876166333384	2.1551537556974196	
FFF:FFD	4095	4093	1	817.1407235397875	3.8700569798791307	0.7829626674098432	
FFD:FFF	4093	4095	1	1359.41768623608	6.416734100814822	2.1525216686076956	
FEF:FFF	4079	4095	1	1230.117962398011	5.812178476076035	1.7568679781221879	
FFF:DFF	4095	3583	1	948.7960694495919	4.102593574786707	1.0565842038888893	
FDF:FFF	4063	4095	1	1371.1639235289144	6.471764868443284	2.1679340284734145	
FFF:FDF	4095	4063	1	1352.3057148125079	6.385894319103873	2.1317006613364065	
FFE:FFF	4094	4095	1	1355.8465455229002	6.400053605070565	2.1418085446562984	
F7F:FFF	3967	4095	1	1416.738554280391	6.685080258566459	2.237709284949428	
FFF:FFE	4095	4094	1	1353.550232667394	6.3894355413697586	2.135302049820323	
DFF:FFF	3583	4095	1	1632.9072178204601	7.694969156334409	2.572320469957721	
FFF:FEF	4095	4079	1	1343.616555400349	6.3440253166607325	2.104452317642561	
FFB:FFF	4091	4095	1	1326.196283013784	6.261582443208783	2.0481143264243715	
FFF:FFB	4095	4091	1	1351.8112838627687	6.3817357010081155	2.129888823778116	
FFF:FED	4095	4077	1	1335.883652213437	6.307991642671691	2.080498990032799	
FFF:EFF	4095	3839	1	1330.2805001152153	6.2898135550265275	2.065383770679296	
FBF:FFF	4031	4095	1	1256.632782579442	5.936565139571828	1.805492705964498	
BFF:FFF	3071	4095	1	2036.615542692776	9.572071148889167	3.1789196591272186	
7FF:FFF	2047	4095	1	1712.986152990068	8.095860819632769	2.6778233756720424	
FF7:FFF	4087	4095	1	1356.7130214637862	6.404143572667448	2.1394498118591643	
FFF:F7F	4095	3967	1	1341.2083346634647	6.33732242208653	2.0980168711036185	
FFF:FBF	4095	4031	1	1359.8660547356471	6.443963449701983	2.1556627007091627	
FFF:FFC	4095	4092	1	1362.2021266911286	6.429911859243714	2.1624937876001114	
FFF:7FF	4095	2047	1	1346.9640946093853	6.282350052235761	2.1345717923940075	
7DF:FFF	2015	4095	1	979.8909936406353	4.643511690000696	0.8672904295629535	
FED:FFF	4077	4095	1	1366.3810882342752	6.449346722148518	2.1630980738918466	
FEF:FFD	4079	4093	1	1360.220029256531	6.420650748031413	2.14498499278192	
FFE:FFD	4094	4093	1	1354.3058182203883	6.392939789578087	2.1370002591417525	
FFF:FF5	4095	4085	1	1355.231156776486	6.397812718054797	2.1406540449849065	
F9F:FFF	3999	4095	1	1392.8622204123928	6.573480637326569	2.1912424646467845	
FBB:FFF	4027	4095	1	1372.145357487761	6.476597350591027	2.1472866791720433	
7FF:FBF	2047	4031	1	1736.183414034136	8.237817397408593	2.7522519001491097	
BBF:FFF	3007	4095	1	1952.6566024938136	9.186207246952705	2.8479302562249136	
FFF:7FD	4095	2045	1	1306.493126413276	6.098285433538657	2.0085939604477447	
FBF:7FF	4031	2047	1	1344.1246440285622	6.269875597505611	2.0836004280863283	
FEF:FFE	4079	4094	1	1366.975378072035	6.452218206502612	2.1661665003488966	
F6F:FFF	3951	4095	1	1419.8965198787746	6.699929970471719	2.235471329110225	
7FF:7FF	2047	2047	1	1719.6772622251483	7.96426402861139	2.6583557647297504	
BFB:FFF	3067	4095	1	2036.5198426052066	9.5717382370563	3.1735412832080074	
B9F:FFF	2975	4095	1	2118.8092204792424	9.953248836998041	3.2981262210761515	
DFF:7FF	3583	2047	1	1619.24921980929	7.553984141357249	2.5678657509223775	
FFF:FBB	4095	4027	1	1325.5791902255648	6.283793756154555	2.0491478058847337	
7FD:FFF	2045	4095	1	1737.5875405221177	8.211167816453528	2.752707034528474	
BFF:7FF	3071	2047	1	2013.0889914779275	9.396625309681546	3.1835070747457497	
DFF:7FD	3583	2045	1	1616.860155779307	7.547681490008553	2.560334405319486	
BBF:7FF	3007	2047	1	2075.29603947061	9.688085057748868	3.2953733033369863	
9FF:7FF	2559	2047	1	2675.7704307020344	12.51880584603106	4.273865754480096	
BFB:EFF	3067	3839	1	2015.5387716193227	9.495554682357715	3.119571309735242	
FFB:FDF	4091	4063	1	1351.62122162073	6.38272377125565	2.1270844303467227	
9BF:7FF	2495	2047	1	2013.263786843832	9.415251867325667	2.3645776621030876	
9B7:7FF	2487	2047	1	2735.4403919771557	12.797911470165305	4.355203560340069	
9FE:7FF	2558	2047	1	2671.358482343746	12.49812443062959	4.258280830566191	
9FF:7FB	2559	2043	1	2680.127810633051	12.555274197933622	4.287767462915004	
FFB:EFF	4091	3839	1	1349.46463118662	6.379652153603535	2.122490395642355	
9BF:7FB	2495	2043	1	2660.2553230320564	12.46160008600945	4.131626648813643	
DFE:FFF	3582	4095	1	1622.4049374609472	7.646188430974064	2.538748176901239	
FFB:F7F	4091	3967	1	1.8109917279695358	0.008593935821275852	3.876416644454587E-6	
1BF:7FB	447	2043	1	1.125733134872277	0.005265190310397964	2.391577765509557E-7	
9FF:6FF	2559	1791	1	1.1572070758339597	0.005878549723092112	7.961741996357819E-7	
FFF:F5F	4095	3935	1	1.154555819699	0.005482448879953693	1.5773568481754653E-6	
B9F:FBF	2975	4031	1	1.2217854176992533	0.005815858567129482	1.1297268972483215E-6	
