BMLVN	12	x2
metabolism	0.9970000
mutations	0.0000100
catastrofic	0.0010000
minWeight	0.1
start biomas	2.0	_
env.size	25000.0
feedSourceH	0FF
feed port max	350000.0
timeQuant	0.01

key	suscepBits	activeBits	maxsize	popBiomas	currincome	currloss
00B:FF5	11	4085	1	4370.483003942379	58.63012418570189	0.8482002981042552	
067:0FF	103	255	1	8161.0905375740385	295.5128310630447	51.06567826289564	
00A:FFD	10	4093	1	24049.085773303217	323.295058467948	21.878446027123626	
FFF:000	4095	0	1	18635.27021596122	2080.81884765625	2259.026885654986	
187:00F	391	15	1	1303.2581216552458	46.64713806845754	1.4364118087254243	
555:000	1365	0	1	21379.27220723511	1436.3955078125	1611.302356712324	
00A:FFF	10	4095	1	25000.0	339.5937145216444	24.099705441155052	
067:0FA	103	250	1	19739.68225689124	659.9018236004831	281.04548940936365	
00B:FFF	11	4095	1	25000.0	339.5937145216444	28.329252119955463	
777:000	1911	0	1	18879.598415583943	1328.47412109375	1734.6393256122822	
BFF:FDF	3071	4063	1	3593.1064733086773	47.64923033582115	54.366703901978546	
014:FFE	20	4094	1	25000.0	339.36240745930405	39.36043807802117	
0FF:000	255	0	1	23725.11281217024	891.1445922851562	1377.6224131151318	
0AF:7BE	175	1982	1	12072.79235237693	195.40800534394742	255.30099710880063	
00F:000	15	0	1	25000.0	1984.56787109375	46.83393176462737	
0FF:7FF	255	2047	1	10382.401214488422	180.65563161137834	254.67128062502212	
002:FF5	2	4085	1	24313.588860955966	326.20626070213274	7.630620019019141	
01F:03F	31	63	1	631.1777328040506	15.991698771375527	0.10300936196218563	
0F7:FEF	247	4079	1	6779.190027656321	91.63009151766988	104.50807580275819	
075:FFF	117	4095	1	7648.213071638537	103.57917523612204	57.57990945416824	
035:FFF	53	4095	1	13315.436021918476	180.05200146764295	79.50605320335067	
2F7:1FF	759	511	1	1374.034131924877	30.952740679054028	4.320893751896751	
013:01F	19	31	1	403.88373055181376	10.213439212219347	0.008706407508315861	
015:01F	21	31	1	3045.641411818337	76.74976686113709	0.3067855664579032	
8E7:0FC	2279	252	1	9719.832231296716	354.98508790472783	265.5959799898836	
0F7:0FE	247	254	1	9830.061382506321	348.35156579926206	198.16368822953194	
0E7:0FE	231	254	1	11903.16104774521	416.5601119938799	269.20932759864365	
042:FFF	66	4095	1	10370.582874743	140.20776375043593	60.14772341967883	
04A:FDF	74	4063	1	13099.573840603667	174.53837002318846	108.30983795973768	
1FF:7FE	511	2046	1	3889.5824002311047	67.13575593468897	34.19629952890543	
107:007	263	7	1	279.94360292312757	3.525582567660333	0.028274693249403314	
0AF:0FE	175	254	1	9977.525672387694	354.7867947482072	123.41317321850974	
067:0FE	103	254	1	25000.0	833.8940747187918	438.7577571239608	
8EE:7FE	2286	2046	1	7729.785159153854	135.6749201620537	173.44966142877956	
067:0FB	103	251	1	2181.1664131777834	77.14842276526973	3.792199672796814	
