BMLVN	12	x2
metabolism	0.9970000
mutations	0.0000100
catastrofic	0.0010000
minWeight	0.1
start biomas	2.0	_
env.size	25000.0
feedSourceH	FFF
feed port max	350000.0
timeQuant	0.01

key	suscepBits	activeBits	maxsize	popBiomas	currincome	currloss
0EF:1FE	239	510	1	8.06434605164786	0.07520467496873459	2.9100764343688635E-6	
002:FDF	2	4063	1	517.6082429973744	9.107905283008824	5.117581415971343E-4	
007:FFF	7	4095	1	12.383006492316456	0.21999894234537726	1.0991116562060244E-6	
01A:FFF	26	4095	1	119.83072049567335	2.1289369570794925	4.889526069870268E-5	
067:0EE	103	238	1	72.02694550593712	0.6750821192222839	7.528956410114064E-5	
0AF:5FF	175	1535	1	928.7631388197965	19.16165110322907	0.017442273553969927	
555:000	1365	0	1	20249.99892711641	3147.453857421875	102.38222765288575	
FFF:000	4095	0	1	25000.0	3458.83349609375	146.67565747412422	
DFF:FFD	3583	4093	1	241.464731127983	4.2873914958619315	0.010991009136168402	
8EF:7FA	2287	2042	1	1719.5424632391243	37.37490701985823	0.26400853400916086	
17F:1FF	383	511	1	313.26132629120576	2.9344645595043297	0.0036524740132778733	
0FF:000	255	0	1	25000.0	500.0114440917969	29.866915715903282	
0EF:0FC	239	252	1	419.69689606219623	4.155141815461048	0.006812077115518189	
0B6:FFF	182	4095	1	78.43829337284758	1.3935525573643595	1.3819205506658677E-4	
00F:000	15	0	1	27495.0224609375	3209.621337890625	2.5126141999504084	
17F:F7B	383	3963	1	789.9938160703737	13.956712262220623	0.02510499570751019	
0F7:FDF	247	4063	1	762.1685904690479	13.411662461161264	0.025830224531714532	
00A:FFD	10	4093	1	1944.5738452527157	34.527369947772556	0.0026185746823467275	
077:0FF	119	255	1	238.09910454581933	2.385833418462999	8.319797394785634E-4	
017:FFE	23	4094	1	1012.5267144918439	17.978746989181598	0.004756211130974405	
0AF:5FC	175	1532	1	1656.1511268614702	34.07681420511359	0.052270151421706136	
002:FD5	2	4053	1	1316.368523628326	23.144154249706716	0.0033100254661753226	
777:000	1911	0	1	25000.0	1581.7979736328125	127.35246029060131	
0AF:7FC	175	2044	1	1157.9039719384434	25.237719089099205	0.029195156036446734	
015:FEF	21	4079	1	441.37951074150266	7.771709288187021	6.850343941244674E-4	
006:007	6	7	1	191.871444442983	0.7310852262895998	1.359974495325222E-4	
17D:1FB	381	507	1	248.87704575694778	2.288772888018123	0.0023444639992157563	
1EF:7FE	495	2046	1	746.9283345634129	16.298456773803355	0.03806611488210062	
007:FFE	7	4094	1	648.9941749379068	11.523746854591819	0.003019144803134152	
1AF:7FE	431	2046	1	1514.2578906559806	33.03513628855205	0.11447300892826141	
02F:7FE	47	2046	1	1329.2814089946592	29.00721634948163	0.0125135348436342	
002:F5F	2	3935	1	1008.8375496907563	17.694549734408216	0.0019442655440953629	
097:07F	151	127	1	360.99990121973445	2.1468817678894174	0.0018819037464350825	
1DE:7FE	478	2046	1	203.94769657373257	4.450480541299479	0.002785711219152215	
005:007	5	7	1	238.77502375891612	0.9097664113762602	1.4502369148255468E-4	
00C:FFF	12	4095	1	588.460461473918	10.45471691901991	7.285694335730846E-4	
FFF:F7F	4095	3967	1	216.6527159435621	3.836260717986243	0.010544380700490807	
006:FF7	6	4087	1	384.7306673883013	6.833662982543577	9.094146890578446E-4	
0D7:FFF	215	4095	1	121.37441022944655	2.15637144995579	5.568977327342193E-4	
007:01F	7	31	1	138.51541921178787	0.7155532783339319	1.3152694049625095E-4	
FE7:FFF	4071	4095	1	35.37604265554078	0.6285020427921044	2.8170397371895395E-4	
014:FFE	20	4094	1	129.02928797399613	2.291075316139442	5.043135535926544E-5	
FBF:FFB	4031	4091	1	177.18243987729613	3.1408393347924655	0.00684830710038203	
0C7:0FE	199	254	1	54.331513289131124	0.5423025951934662	7.641999293673238E-5	
0F7:DFF	247	3583	1	95.58043495305034	1.45915943727459	4.0812170061183277E-4	
0E7:0EE	231	238	1	565.4925762941527	5.297565603164126	0.011053810375335392	

