BMLVN	16	x2
metabolism	0.9970000
mutations	0.0010000
catastrofic	0.0010000
minWeight	0.1
start biomas	2.0	_
env.size	25000.0
feedSourceH	8000
4000
2000
0F00
0010
feed port max	55000.0
timeQuant	0.01

key	suscepBits	activeBits	maxsize	popBiomas	currincome	currloss
8000:0000	32768	0	1	16084.845330749296	489.979736328125	256.12708916713257	
4000:0000	16384	0	1	15200.592441148456	235.58963012695312	226.46213485853758	
2000:0000	8192	0	1	14956.71235545248	1.171189546585083	240.8808299134195	
0F00:0000	3840	0	1	14818.238396720935	280.17041015625	238.8159310587471	
0010:0000	16	0	1	25000.0	155.86830139160156	0.0	
FFFF:FFFF	65535	65535	1	568.8180242195516	2.719276004253917	0.8590993821668278	
FFFF:FFFE	65535	65534	1	587.6243624029443	2.809119940068151	0.9168335866215979	
FFFF:FFDF	65535	65503	1	575.2808777438561	2.750230735931491	0.878729505376841	
FFFF:F7FF	65535	63487	1	575.2041612053517	2.757132288448832	0.8785668522825488	
EFFF:FFFF	61439	65535	1	643.0970248175371	3.0738261640831226	0.9945959087280691	
FF7F:FFFF	65407	65535	1	392.88216212426767	1.8783815442183573	0.40841631775160386	
FFFB:FFFF	65531	65535	1	574.3176495105291	2.745549448060449	0.8756926464967744	
FFFF:FBFF	65535	64511	1	556.3934955872718	2.6499522272046123	0.8220590270715116	
FFFF:FDFF	65535	65023	1	568.4848140984157	2.719411287529503	0.8581111637170784	
FFFF:FFEF	65535	65519	1	579.2761752543867	2.7692869037988506	0.8909741723004649	
FFFF:FFF7	65535	65527	1	562.5060134786193	2.6891476761559767	0.8401428383701202	
FFFD:FFFF	65533	65535	1	579.3629944947998	2.7696522459197386	0.8911922634715297	
FFFF:FF7F	65535	65407	1	520.784283489437	2.4903921331728736	0.720159770296609	
BFFF:FFFF	49151	65535	1	798.3258977980985	3.8145999541144504	1.228213697811449	
FFFF:FFBF	65535	65471	1	582.0652062541019	2.782776737068043	0.8995743667441416	
