BMLVN	8	x2
metabolism	0.9970000
mutations	0.0010000
catastrofic	0.0010000
minWeight	0.1
start biomas	2.0	_
env.size	25000.0
feedSourceH	FF
C7
B5
23
11
feed port max	50000.0
timeQuant	0.01

key	suscepBits	activeBits	maxsize	popBiomas	currincome	currloss
FF:00	255	0	1	8403.113773854378	312.4841003417969	231.75712910086298	
C7:00	199	0	1	10003.725949546342	95.68008422851562	248.19881449365835	
B5:00	181	0	1	9762.89547987992	424.8253479003906	234.27623868913977	
23:00	35	0	1	12565.333105968395	61.556251525878906	190.13194728946792	
11:00	17	0	1	14394.749191878807	281.3447570800781	183.4962325628332	
3F:FF	63	255	1	351.915630721796	1.4050972394540637	0.2720237042623316	
6F:FF	111	255	1	460.08546353951573	1.8364595202218799	0.3361152166849369	
7F:F7	127	247	1	312.5281105348886	1.2574620154151617	0.21039132306703462	
5F:FF	95	255	1	544.780242932283	2.1744063908489797	0.40862896550018446	
9B:FF	155	255	1	377.89105401911445	1.5083887617123461	0.2713263895215099	
67:FF	103	255	1	458.3556480411931	1.829530186398094	0.31526862936848943	
2F:FF	47	255	1	519.6486359213236	2.074572201301013	0.3826415718644735	
6F:F7	111	247	1	343.779405743262	1.3830179389199557	0.18770563105550753	
5F:FE	95	254	1	533.8090460326914	2.1085358043085503	0.3923909067592781	
17:FF	23	255	1	643.2672845801667	2.5687116631276603	0.5017952688480487	
1F:FF	31	255	1	570.9552977694642	2.2796437753899292	0.4581102751424583	
4F:FF	79	255	1	949.7430520096269	3.788363337047294	0.7539030822099062	
0F:FF	15	255	1	1380.2931211532953	5.511854109160831	1.0846957486391595	
7F:3F	127	63	1	386.8339400346331	1.4679418046411936	0.3224577686889187	
2F:F7	47	247	1	457.4498332250216	1.8406327955106394	0.2965728352776528	
3C:FF	60	255	1	378.87236221706627	1.5127037098957448	0.2916593235050206	
07:FF	7	255	1	1340.6417502395886	5.353632297799601	1.0826915356273792	
0D:FF	13	255	1	1960.441667230744	7.828247319974686	1.4691159142703398	
17:FD	23	253	1	557.4904553073096	2.191380489884906	0.37686198044524133	
1D:FF	29	255	1	560.298668094281	2.2369507105994604	0.4044019262784429	
1F:FE	31	254	1	525.20485797182	2.075164799364367	0.3876590334351657	
17:FE	23	254	1	578.9207690920954	2.2876129784211843	0.40639681621705687	
0E:FF	14	255	1	1619.486011472245	6.466613866303686	1.1728665642255935	
0F:FE	15	254	1	1300.676802426313	5.139838617958658	0.9631652886947747	
0F:F7	15	247	1	1437.6853513423587	5.786397663577499	1.176776435952882	
13:FF	19	255	1	658.7075592183411	2.630127446335128	0.4533284624946234	
0F:EF	15	239	1	977.7820941165638	3.813968985461567	0.5441650990227235	
3F:1F	63	31	1	235.27510680370742	0.8694377761560744	0.12156990679675345	
BE:3F	190	63	1	362.77203180079704	1.3770173806228925	0.35527941474124736	
E3:3F	227	63	1	206.14211085088021	0.7822994602529805	0.11782581195562943	
67:3F	103	63	1	588.433778030368	2.2330121527888482	0.5202718019011718	
17:F7	23	247	1	632.1683780362538	2.544220274970531	0.4845852214592625	
7F:1F	127	31	1	217.99402614087504	0.8055939202323548	0.10245434042710026	
0F:FB	15	251	1	1240.7060237463293	4.843691152919201	0.8764186210307633	
2F:3F	47	63	1	707.9737542422647	2.683648999925605	0.7074328174244157	
27:FF	39	255	1	196.8395405192462	0.7855923739988494	0.04951736991439336	
