BMLVN	8	x2
metabolism	0.9970000
mutations	0.0010000
catastrofic	0.0010000
minWeight	0.1
start biomas	2.0	_
env.size	25000.0
feedSourceH	FF
C7
B5
23
11
feed port max	75000.0
timeQuant	0.01

key	suscepBits	activeBits	maxsize	popBiomas	currincome	currloss
FF:00	255	0	1	7543.579853632124	102.89834594726562	319.9792382741401	
C7:00	199	0	1	10794.310992273518	582.4765625	416.4227006075507	
B5:00	181	0	1	9966.858450191421	61.52178192138672	429.7729344984575	
23:00	35	0	1	12349.093104238811	229.7996368408203	306.78557175350085	
11:00	17	0	1	15240.871579574849	704.1411743164062	297.46348809105575	
FF:FF	255	255	1	235.38298353479942	1.1775990460255281	0.29199376422151685	
FF:FE	255	254	1	289.3407909980662	1.430886694186703	0.44143933338541197	
FD:FF	253	255	1	316.59673398688517	1.5843224899475865	0.5213352498514698	
F7:FF	247	255	1	303.69824681049903	1.5196178636337543	0.4586225270663505	
FF:BF	255	191	1	133.51202383627404	0.5943078323251525	0.09398429794868576	
FF:F7	255	247	1	263.8440357597441	1.3125597597736496	0.3669835477758923	
FF:7F	255	127	1	52.99760092542841	0.18916342233603392	0.014825919414955627	
EF:FF	239	255	1	343.47911422731994	1.718732834530399	0.5546628296398877	
FE:FF	254	255	1	283.3820624666111	1.4179651289585156	0.42019747856009976	
7F:FF	127	255	1	435.8470258946562	2.180984795286728	0.6921960052058429	
FB:FF	251	255	1	324.90853054906245	1.6259058175765506	0.5374838982425192	
FF:FD	255	253	1	278.11251832289713	1.3696100430973497	0.4078264678624605	
FF:DF	255	223	1	160.1482804538175	0.6930228326620345	0.13528089924779443	
FF:FB	255	251	1	291.83343969995434	1.420912591905873	0.4491600148307613	
FF:EF	255	239	1	233.34964919131014	1.1186161768921543	0.28709961002178863	
DF:FF	223	255	1	381.70610680635644	1.9098819299815715	0.6098674512709461	
BF:FF	191	255	1	319.89807139827394	1.6005821695499116	0.4510637002786807	
EB:FF	235	255	1	355.99654840769944	1.781349579798465	0.5780998258634295	
FD:FD	253	253	1	302.5324774467143	1.4899578566679599	0.47606809725650934	
