BMLVN	8	x2
metabolism	0.9970000
mutations	0.0010000
catastrofic	0.0010000
minWeight	0.1
start biomas	2.0	_
env.size	25000.0
feedSourceH	FF
feed port max	75000.0
timeQuant	0.01

key	suscepBits	activeBits	maxsize	popBiomas	currincome	currloss
FF:00	255	0	1	13700.883538815797	294.60797119140625	340.6094886261075	
17:FF	23	255	1	1588.6470235982324	4.832185248756675	2.3298745762361574E-4	
15:FF	21	255	1	4066.1795328253793	12.368093281758938	9.745964587128122E-4	
07:FF	7	255	1	22040.72788643457	67.04123887164745	0.0	
09:FF	9	255	1	11808.62960291661	35.9182855500515	0.0	
13:FF	19	255	1	11248.309561843316	34.21397829788665	0.005645387213609562	
11:FF	17	255	1	2401.286213830462	7.303988274641402	2.30198261394266E-4	
03:FF	3	255	1	21026.489231340976	63.95623113962797	0.0	
05:FF	5	255	1	10421.207957979816	31.698167848260464	0.0	
0F:FF	15	255	1	380.2764613267014	1.15668618354659	5.093957747014826E-6	
01:FF	1	255	1	23786.07934467989	72.3500709859997	0.0	
0B:FF	11	255	1	1924.6896197186695	5.854324649085481	0.0	
0D:FF	13	255	1	1031.4620015969322	3.137396049865014	3.247992564206277E-5	
07:FE	7	254	1	21.84756335834572	0.06619387206344589	0.0	
01:F7	1	247	1	20.098776509266138	0.05922210683605552	0.0	
01:DF	1	223	1	3.2628435401991283	0.008696007763273977	0.0	
21:FF	33	255	1	11.991990244563235	0.03647611081064869	3.334312698609448E-5	
23:FF	35	255	1	6.40420603176226	0.019479690963354106	1.0086015193780912E-5	
27:FF	39	255	1	17.984955754504103	0.05470505928564079	8.862455689197428E-5	
03:FE	3	254	1	6.343990143249445	0.01922105751686042	0.0	
07:F7	7	247	1	11.5073957235905	0.03390714945424946	0.0	
01:FD	1	253	1	19.46863394847628	0.058754646478633335	0.0	
01:7F	1	127	1	7.747532363593429	0.01460654653020659	0.0	
43:FF	67	255	1	26.11455172719565	0.07943347978823789	3.2103146584875556E-4	
02:FF	2	255	1	12.64688517164213	0.038468005872718536	0.0	
93:FF	147	255	1	2.1306302078643125	0.006480747861309661	4.688192000454367E-6	
09:7F	9	127	1	4.214943168610851	0.007946499688571244	0.0	
06:FF	6	255	1	3.6493302854038494	0.011100160786244965	0.0	
03:DF	3	223	1	8.803331932845802	0.02346230883814699	0.0	
83:FF	131	255	1	6.748505899462531	0.020527041772093545	4.1913250463929866E-5	
81:FF	129	255	1	5.899469234188497	0.017944498018419918	3.154173554850286E-5	
03:FB	3	251	1	8.137639961154104	0.024365131708316196	0.0	
03:FD	3	253	1	1.9232935249162268	0.0058043328273652	0.0	
07:FD	7	253	1	1.3402277736826835	0.004044691027216874	0.0	
07:BF	7	191	1	1.501148605377193	0.003473535290524756	0.0	
47:FF	71	255	1	4.028670049324065	0.012254022070127563	8.097688341608107E-6	
07:EF	7	239	1	5.017455210525816	0.014306719395111953	0.0	
87:FF	135	255	1	2.3301724688525773	0.007087696547774314	5.149742645430803E-6	
85:FF	133	255	1	3.622238006733694	0.011017791038299201	1.2259698300972507E-5	
13:7F	19	127	1	2.2904899697726493	0.004318297301664953	2.057663254266217E-10	
16:FF	22	255	1	1.50209062839398	0.004568906124752618	1.3933081603250096E-10	
17:EF	23	239	1	1.1205607373428488	0.0031951551859130335	1.1596146167713958E-10	
13:EF	19	239	1	1.1699222072440656	0.0033359039656017616	6.109392674238838E-11	
1D:FF	29	255	1	3.829677501035409	0.011648731516863419	2.987466767631083E-6	
08:FF	8	255	1	1.6051431854689215	0.004882360885479213	0.0	
07:FB	7	251	1	1.6952094744283175	0.0050756733297123635	0.0	
03:7F	3	127	1	2.6421915022246063	0.0049813658475716255	0.0	
07:DF	7	223	1	2.9977297464266335	0.007989436461158793	0.0	
03:F7	3	247	1	1.5848231970506055	0.004669765278932245	0.0	
05:FB	5	251	1	1.2735600129043112	0.0038132010756172095	0.0	
1B:FF	27	255	1	3.14225143597656	0.009557785666801754	1.871924192896677E-6	
12:FF	18	255	1	1.9883528717149215	0.006047969038580608	1.671185299373293E-10	
13:F7	19	247	1	1.252585348138267	0.003690808904644367	7.001902778618507E-11	
0D:F7	13	247	1	1.5764312862193381	0.00464503807053235	7.588243590937387E-11	
25:FF	37	255	1	3.7540741342724293	0.011418770934790407	3.6638525175095947E-6	
13:FB	19	251	1	1.75656182434706	0.005259370089075689	1.3768511139097725E-10	
13:BF	19	191	1	1.972547999583458	0.0045643149951084495	1.7386248114712983E-10	
19:FF	25	255	1	2.000146530759224	0.006083841788922401	4.014332928397229E-10	
07:7F	7	127	1	1.7252654919122947	0.003252670592638668	0.0	
03:EF	3	239	1	1.8451919575217952	0.005261361080214835	0.0	
01:BF	1	191	1	1.9970545898477647	0.0046210212433949105	0.0	

