BMLVN	8	x2
metabolism	0.9970000
mutations	0.0100000
catastrofic	0.0001000
minWeight	0.05
start biomas	2.0	_
env.size	1.0
feedSourceH	AA
feed port max	15000.0
timeQuant	0.01

key	suscepBits	activeBits	maxsize	popBiomas	currincome	currloss
AA:00	170	0	1	-30.613214539630377	36.2630729675293	105.63584830649498	
3B:4F	59	79	1	4.182371022106726	8.151086960932373	8.293916906356753	
37:74	55	116	1	21.2385625396267	38.188048221248124	37.530084217813304	
2C:67	44	103	1	16.75400891096847	26.737648844776793	26.82783055300953	
3E:6F	62	111	1	12.70482997716996	33.125418052570986	40.69565656933139	
2D:7F	45	127	1	31.560027336354363	50.643355764931634	50.44772429835049	
37:70	55	112	1	18.631597965150128	33.66758460952768	33.2834100186301	
1D:FD	29	253	1	21.39928959007704	23.139445202401415	22.892551925313725	
3E:3D	62	61	1	25.792807820438682	97.50449024768679	143.486883347546	
0E:F1	14	241	1	30.235447329679584	14.466982424737871	14.371074939972084	
3E:6E	62	110	1	15.591351017667035	31.746397688410458	32.16213179866655	
2D:FC	45	252	1	14.102019546698852	22.371417648776152	21.81582068662585	
39:F5	57	245	1	9.714933787770125	18.241627424676118	17.982495858900492	
37:54	55	84	1	8.45103438717244	15.281612859282879	15.09103983293471	
36:70	54	112	1	18.86670921200571	33.66514529171377	33.352682265163764	
2F:F1	47	241	1	9.01727387946653	14.458667503819449	14.062847113375062	
3E:2E	62	46	1	38.17990708489907	78.86410801771233	81.1770012930726	
3D:3D	61	61	1	44.29101631809461	97.65627258662445	106.44881058078747	
3A:D7	58	215	1	3.0304938217887467	5.9587788834856	6.195683900000443	
3D:77	61	119	1	40.33159028939723	43.46663344516604	6.008157105172583	
1B:B1	27	177	1	23.247089445739288	22.340362064053416	22.118833256324145	
25:7F	37	127	1	35.32586350569154	50.65154587262544	50.669571574927346	
37:78	55	120	1	22.451398079400775	40.284567412284865	39.466230655643436	
37:7C	55	124	1	25.771200301341867	46.081464731092375	44.96120976534128	
25:3F	37	63	1	73.220272710043	104.76270779235524	104.78648176095652	
3D:57	61	87	1	15.701679720749683	20.655865770034204	9.767923162427934	
36:F1	54	241	1	8.122453461404065	14.452924065016083	14.246806551331181	
17:70	23	112	1	37.08376423927772	33.699008274148845	33.77126228443933	
2D:5F	45	95	1	17.682863309356463	28.43594421692114	28.323646942580467	
3C:3D	60	61	1	56.52160583800533	97.77518028361212	83.0983239959143	
39:D7	57	215	1	3.007579225381837	5.9587788834856	6.219945269976621	
3D:5F	61	95	1	15.653902403414435	28.417650767989713	25.32194096643512	
33:7C	51	124	1	27.14686871348669	46.082145037750514	45.57782896511221	
13:7C	19	124	1	56.03624928510418	46.118470550471116	46.0875822584902	
13:6C	19	108	1	34.18095104272377	28.161792752947697	28.180776571639317	
3E:1D	62	29	1	25.67133266441837	80.94503368577735	110.27646678920364	
3B:FE	59	254	1	13.274247630242005	24.38003728086729	23.229173190000296	
2D:3F	45	63	1	65.37196249375232	104.72797085710532	104.42650958353006	
2C:6F	44	111	1	20.817521750146547	33.10529839433101	33.05698599312764	
37:D5	55	213	1	2.7477957160883135	5.055346707229402	5.095921491333306	
13:5C	19	92	1	27.006742464586104	22.226845451760084	22.155152945571228	
38:D5	56	213	1	2.605928726358949	5.055346707229402	5.228325982241276	
36:78	54	120	1	22.707648947782427	40.28176735601085	39.59936780151046	
26:6F	38	111	1	23.188595845557604	33.10804059032124	33.16974903534846	
1A:D7	26	215	1	6.406509486369435	5.955142943826297	5.802474217804614	
25:7E	37	126	1	34.23233931140869	49.06360184015601	49.02380357782626	
37:F7	55	247	1	11.211741498178508	20.177946878543203	19.82661807762796	
06:6F	6	111	1	211.22091243412467	33.073670584113	32.4955364742604	
17:6F	23	111	1	36.47733397777048	33.18787509627828	33.22107195753776	
1F:77	31	119	1	39.39945826498733	43.42141743241714	43.51563916312113	
28:67	40	103	1	17.72970358938369	26.741440275417908	26.871322779683933	
23:7C	35	124	1	33.85570342018584	46.099300832148984	46.13598448775523	
30:D5	48	213	1	3.084955160840789	5.055346707229402	4.836940166522699	
1F:E5	31	229	1	9.782833713603347	10.769913724262375	10.536528619501349	
33:3C	51	60	1	56.43257080420787	95.58346374797385	94.54132457777924	
1B:3F	27	63	1	109.44072756662355	104.7236990879192	104.72908627313062	
36:F7	54	247	1	11.376375964751471	20.178055811880068	19.813513741848183	
3A:B9	58	185	1	14.69533858253807	27.4008830321356	26.919367567201544	
13:6D	19	109	1	36.0434067956688	29.69268004815021	29.732846434763488	
17:6C	23	108	1	30.9538339946244	28.161792752947697	28.197303981408442	
39:95	57	149	1	3.969753595968002	7.990327926762744	8.47457009569483	
3E:3F	62	63	1	49.98707525531508	104.65582307390649	109.2208412609847	
37:58	55	88	1	9.90924060912837	17.87733213609945	17.599885685011966	
2C:ED	44	237	1	8.370633570321974	13.051587366906396	12.56088711062524	
37:7A	55	122	1	24.25801901715016	43.42995288459768	42.434908810230645	
2F:F7	47	247	1	12.553581057727191	20.18630107794714	19.73366088430632	
23:78	35	120	1	29.57801029647457	40.28780717649164	40.36332601028952	
36:B1	54	177	1	12.520182699659063	22.324658081131854	22.075427109448146	
2C:B9	44	185	1	17.435815578638998	27.409436897289734	26.76961074708612	
3E:37	62	55	1	41.3638200396868	99.44766667302802	116.03938553513501	
16:6F	22	111	1	37.77871403122392	33.18787509627828	33.21417197974715	
2F:F6	47	246	1	11.93262916608696	19.14789312765043	18.65273177697125	
2D:B9	45	185	1	17.265142553954874	27.40887840251239	26.769443578367966	
29:95	41	149	1	5.394320900889764	7.990327926762744	7.567377082926627	
38:F5	56	245	1	9.817420589862863	18.241813650085238	17.9949089539747	
18:D7	24	215	1	6.482927929083238	5.9587788834856	5.809048811292383	
27:EC	39	236	1	8.879902212679875	12.599959293053775	12.113846144032621	
36:B7	54	183	1	15.526227383565567	27.53412790772763	27.045547849391536	
3C:2D	60	45	1	39.621788012905796	75.92361784606669	73.08484041766764	
30:DD	48	221	1	5.241227692208386	8.511527918224429	8.027072684619071	
1D:D5	29	213	1	4.680714974774894	5.052134286176151	4.856909710054431	
2D:ED	45	237	1	8.288995829647169	13.051401080718355	12.565025590373187	
31:F5	49	245	1	10.863853469427937	18.236913572979883	17.85109809960054	
1D:77	29	119	1	40.12543109129472	43.42667674364422	43.51600891937492	
2F:77	47	119	1	26.6696449644643	43.405664577403144	43.3361521283213	
06:7F	6	127	1	322.8007064706713	50.75482594102896	49.82979509485974	
27:F1	39	241	1	10.132627642144023	14.45564975314085	14.073596156908776	
3E:7F	62	127	1	24.191822579353026	50.62633557014596	52.681520996822954	
32:DD	50	221	1	5.216448842257224	8.511527918224429	8.030531225369563	
36:58	54	88	1	10.02703160738283	17.877145763350953	17.651842632975015	
35:54	53	84	1	8.503599809589385	15.281276360708523	15.111197536935588	
2C:2D	44	45	1	47.73182052078282	75.71965206012318	75.76598045586115	
2F:F9	47	249	1	12.373686313373677	19.87699709131283	19.40123540709074	
16:78	22	120	1	45.94117312163625	40.31562294418018	40.33241981724186	
2D:BC	45	188	1	19.371143111242304	30.732351339516136	29.990411932288257	
27:7C	39	124	1	31.972519376450037	46.09356811810176	46.0933319301001	
15:FD	21	253	1	25.339994879264594	23.14282565342771	22.953316437686073	
32:D3	50	211	1	2.790401481223138	4.575084823541075	4.349760115846232	
16:F1	22	241	1	16.446580050451573	14.466982424737871	14.325470311265349	
1A:D5	26	213	1	5.433709352908066	5.055346707229402	4.907295635414673	
23:FF	35	255	1	18.622375049006	25.21806506131092	24.798852189409555	
25:3B	37	59	1	68.3061359814111	97.83902728484583	97.97072833573768	
2D:6D	45	109	1	18.421309314721725	29.616412106902125	29.613462811102952	
06:7D	6	125	1	302.1293941002269	47.4875398294045	46.64194277906859	
3A:AD	58	173	1	9.864692554193445	18.496975848619115	18.27560520772743	
13:FC	19	252	1	27.1384272733012	22.38016054138895	22.198103641012516	
37:68	55	104	1	13.380875519261862	24.16648591990248	23.8435313664352	
3B:DF	59	223	1	5.648568592373761	10.27157756852619	9.659444561762518	
17:77	23	119	1	47.78729235532101	43.385503350795254	43.42577332129875	
26:F1	38	241	1	10.2281841369432	14.455931980944168	14.079779975981314	
36:FF	54	255	1	14.26704045588132	25.214037022889663	24.640860893164042	
2E:2E	46	46	1	49.22071128883879	78.67484233046854	78.3608755172877	
33:70	51	112	1	19.727506087940462	33.656699845754915	33.54067123127687	
1D:55	29	85	1	15.01147981623056	16.23677846482278	16.244289865115988	
3A:97	58	151	1	5.554864643979378	9.965606179318069	9.325950928197589	
35:FD	53	253	1	12.988498806284072	23.13750640691499	22.64461087037998	
2D:D3	45	211	1	2.954615464780037	4.575084823541075	4.26601243237877	
25:FD	37	253	1	16.256849183420805	23.140560845277154	22.70130972206522	
34:58	52	88	1	10.08517061325406	17.876897408129807	17.673070841043074	
17:74	23	116	1	42.06996560762356	38.21221392666066	38.257274698252964	
2D:FD	45	253	1	14.563415418327299	23.138697407021336	22.62492819056343	
3E:15	62	21	1	28.4023746975576	71.62594309290469	86.12993880584978	
18:F7	24	247	1	22.010436373476058	20.202205105337992	20.028896799173197	
0C:6B	12	107	1	58.038456726499376	26.678037492373196	26.620396884971765	
36:9E	54	158	1	8.40284261483291	14.760325798230877	14.293866137442901	
24:6F	36	111	1	23.294612721792298	33.11189077139897	33.17568413218445	
2F:57	47	87	1	12.670218480310313	20.659905140667135	20.633685213825558	
24:2F	36	47	1	60.646795169969856	85.9300320319176	86.08065641461266	
2E:F9	46	249	1	12.519427146731072	19.877267280633575	19.399326580619626	
26:58	38	88	1	12.50329845232593	17.882442409857912	17.886427427563575	
25:6F	37	111	1	23.084711823660903	33.110495925814455	33.17007274987394	
2D:5D	45	93	1	14.586171113253823	23.469141974022136	23.397941974174444	
17:F0	23	240	1	14.965298339891808	13.632124846027995	13.46939242933135	
27:58	39	88	1	12.38003544289693	17.882442409857912	17.885392110673276	
17:F4	23	244	1	19.465372808811537	17.713614092539054	17.544008023508038	
27:F7	39	247	1	14.110919456354923	20.18049978996628	19.773819939663504	
0D:77	13	119	1	89.08654943230854	43.478221096756506	43.34901779662864	
36:9A	54	154	1	6.292175687461029	11.02742086460222	10.642048514794972	
2A:D5	42	213	1	3.445770016487513	5.055346707229402	4.737114913646623	
39:53	57	83	1	7.943191389490291	15.039840602588367	14.957733773066805	
14:F9	20	249	1	22.13998157575305	19.88281410219474	19.70970962574893	
16:6D	22	109	1	33.804140723821895	29.69268004815021	29.74529659293723	
