BMLVN	8	x2
metabolism	0.9975000
mutations	0.0100000
catastrofic	0.0001000
minWeight	0.05
start biomas	2.0	_
env.size	25000.0
feedSourceH	AA
feed port max	15000.0
timeQuant	0.01

key	suscepBits	activeBits	maxsize	popBiomas	currincome	currloss
AA:00	170	0	1	24318.145653679	42.68498611450195	19.7749968288125	
FF:FF	255	255	1	2753.093939537724	17.355414555850512	0.04502551527726327	
FD:FF	253	255	1	44.42006854243269	0.2853091835102985	9.549287204953607E-5	
FF:FE	255	254	1	52.507072809236895	0.33852134505666315	1.3412641171402795E-4	
FE:FD	254	253	1	15.722075610592476	0.09942504274529727	1.2125461288772637E-5	
F7:FF	247	255	1	17.1452338195738	0.11012378727458914	1.4014768030112308E-5	
EF:FF	239	255	1	33.749599015923245	0.21677332015904502	5.229731366244156E-5	
FF:FB	255	251	1	46.1228868255059	0.3007626747055296	1.0371000565012957E-4	
BF:FF	191	255	1	19.03674345326898	0.1222729380457925	1.3357702611046027E-5	
DF:FF	223	255	1	9.379910721746443	0.06024714529300506	3.7982406198707384E-6	
FF:F6	255	246	1	7.62898336503896	0.04616421364859837	2.8750978042913267E-6	
FF:DF	255	223	1	13.547842563341625	0.06586960378637226	9.075461946841148E-6	
7F:FF	127	255	1	7.976363330945044	0.051232158559766795	1.5603568400274458E-6	
FF:F7	255	247	1	12.373858727564132	0.07458646367853936	7.552763422593155E-6	
FE:FF	254	255	1	27.960386521273037	0.1795893630670145	3.819016160111426E-5	
FF:EF	255	239	1	26.816891827555622	0.1832825098114454	3.526758744545744E-5	
FE:F5	254	245	1	5.873068501862009	0.03482377761364507	1.6987852070723247E-6	
FF:BF	255	191	1	14.693191690017782	0.12470437446079259	1.0600390683366182E-5	
FF:DD	255	221	1	2.3358915413346164	0.011133892407555865	2.706980247250096E-7	
FF:7F	255	127	1	7.872589514493448	0.006588785896062682	3.0971574805223022E-6	
FE:EF	254	239	1	4.562914184572221	0.031185668931464232	1.0239863566741335E-6	
FD:EF	253	239	1	1.5966498305480028	0.010912453246342473	1.2498928362946626E-7	
F9:FF	249	255	1	2.8564547711990405	0.018347000726361726	3.9400477960124223E-7	
F6:FF	246	255	1	4.245691823862357	0.027270067420580142	8.595727862023401E-7	
FB:FF	251	255	1	4.946030689861308	0.031768342803628336	1.1899297210638546E-6	
BF:DF	191	223	1	2.1919323626941325	0.010657173263061228	1.7863539531899945E-7	
FD:DF	253	223	1	2.117099538848033	0.010293336336532882	2.206000990833292E-7	
EE:FF	238	255	1	2.0716913340631393	0.01330646700979594	1.9826402527366776E-7	

