BMLVN	8	x2
metabolism	0.9990000
mutations	0.0100000
catastrofic	0.0001000
minWeight	0.05
start biomas	2.0	_
env.size	25000.0
feedSourceH	FA
feed port max	5000.0
timeQuant	0.01

key	suscepBits	activeBits	maxsize	popBiomas	currincome	currloss
FA:00	250	0	1	16617.154771293244	2.7705698013305664	15.31684552695299	
FF:FF	255	255	1	3066.6911177236466	13.286941469308493	0.06978118718272068	
F7:FF	247	255	1	19.728211969532392	0.08839972158325368	2.099187870370544E-5	
7F:FF	127	255	1	47.59660460191509	0.21327409183967316	6.215205384000381E-5	
FF:FE	255	254	1	64.46576296368833	0.2899170776225202	2.2842197612810762E-4	
FE:FF	254	255	1	114.5513910037043	0.5132705730716524	7.081137997614365E-4	
DF:FF	223	255	1	40.245899397906285	0.18033648711041564	7.850821846171413E-5	
FD:FF	253	255	1	37.29901465150997	0.16713192890971243	7.645854916026347E-5	
FF:DF	255	223	1	21.859937363332513	0.08523486457797175	2.663793174810648E-5	
FF:FD	255	253	1	10.484297460650938	0.046597876004695206	6.135950048550602E-6	
FE:F7	254	247	1	7.813520223212699	0.033875528045243054	3.398511656331604E-6	
FB:FF	251	255	1	21.216021951345883	0.09506640461239393	2.465458014809378E-5	
BF:FF	191	255	1	21.23893242735987	0.09516907255878605	1.8802972946310226E-5	
FE:EF	254	239	1	3.220267291726066	0.013493186063231489	5.781829574533955E-7	
FF:BF	255	191	1	7.419706913911323	0.024609618105306968	3.0842852799364956E-6	
EF:FF	239	255	1	11.182158490289954	0.05010591578918573	6.54211036642594E-6	
FF:EF	255	239	1	12.554459159006331	0.05260422137724741	8.799388447727375E-6	
FF:7F	255	127	1	2.5558450708810785	0.005496596534675193	3.672753491047929E-7	
FF:F7	255	247	1	12.29205057600643	0.053292199171803084	8.432598223645396E-6	
FC:FF	252	255	1	3.1319243466670685	0.014033778226066846	5.422607589151297E-7	
FF:FB	255	251	1	7.778714188056768	0.03537186285514585	3.3796155538525397E-6	
7B:FF	123	255	1	2.8520410057948644	0.012779653495731725	2.1889435861698878E-7	
F6:FF	246	255	1	2.7225828885710435	0.012199567925079311	4.0015403597271174E-7	
7F:DF	127	223	1	2.3156405621360037	0.009029001855222317	1.4923487605486643E-7	
7E:FF	126	255	1	2.160940891962613	0.009682916708352123	1.2879333344141544E-7	

