BMLVN	8	x2
metabolism	0.9990000
mutations	0.0100000
catastrofic	0.0001000
minWeight	0.05
start biomas	2.0	_
env.size	25000.0
feedSourceH	FF
feed port max	5000.0
timeQuant	0.01

key	suscepBits	activeBits	maxsize	popBiomas	currincome	currloss
FF:00	255	0	1	8318.845774698299	35.640724182128906	16.292823250940796	
FF:FF	255	255	1	683.8513814534364	0.7827685026836032	0.10527914876152727	
BF:FF	191	255	1	625.7764348725071	0.7180025431690915	0.06619041282350746	
FD:FF	253	255	1	351.7449554727404	0.40453316079178675	0.028313174005215512	
FF:FB	255	251	1	436.3604856792414	0.49347779458667934	0.04363710165834283	
FE:FF	254	255	1	501.82354788792975	0.5761269794445719	0.05723870794719233	
7F:FF	127	255	1	515.9342450535786	0.5932682181553702	0.029261399503515324	
F7:FF	247	255	1	356.67944780700964	0.4102052852932221	0.028530013134768457	
DF:FF	223	255	1	401.1746468607657	0.461265988855558	0.03254144038465144	
FF:FE	255	254	1	362.9215584637515	0.4157002267535245	0.030326430715644517	
FF:F7	255	247	1	283.909400957845	0.31641641960916744	0.018671048349172173	
FF:DB	255	219	1	63.55601432910155	0.06284506640716883	9.500550816368058E-4	
FF:7F	255	127	1	19.492806898406112	0.01122408030592019	8.97134731536529E-5	
EF:FE	239	254	1	163.8120210722826	0.18790370788331207	0.0059122935703884456	
E7:FF	231	255	1	142.9369847710065	0.16461818062038824	0.004381580005230691	
FF:DF	255	223	1	166.39297779099047	0.16750080043819532	0.006471661221513553	
EF:FF	239	255	1	409.0716308507795	0.47024415990631885	0.03625564564778437	
FF:7B	255	123	1	10.992788208321912	0.006129779963272391	2.8540954208712548E-5	
FB:FF	251	255	1	334.2147372497606	0.38443882829742565	0.025458530679929675	
F7:BF	247	191	1	1.9310596044746833	0.0016714828893116946	8.571304027645951E-7	
FF:EF	255	239	1	254.97640700176805	0.27501626853887173	0.015097798013098357	
FF:FC	255	252	1	36.596218954301946	0.041659154864005246	3.152945940721849E-4	
7F:FD	127	253	1	70.35873177047851	0.08040904659228675	5.617704732051014E-4	
FF:BF	255	191	1	63.018604029326106	0.05454531179925694	9.347551316432982E-4	
7F:EF	127	239	1	88.962813133445	0.09603219786778543	8.980086417935113E-4	
BD:FF	189	255	1	198.92403705206115	0.22906400049706865	0.006827469348422302	
FF:FD	255	253	1	270.7035088759623	0.30908470768933866	0.01698100597629	
FB:FB	251	251	1	123.3348586085532	0.1398081885636929	0.003516820866060716	
AF:FF	175	255	1	175.13599468454558	0.20169365792707905	0.004948975796101249	
F7:EF	247	239	1	60.41765104503129	0.06521886844886861	8.35595727782997E-4	
9F:FF	159	255	1	141.97558314276247	0.1635228194770348	0.002958769135066442	
FE:F7	254	247	1	96.54165003987981	0.1076973962644604	0.00217883665946255	
FF:F5	255	245	1	50.565539558433116	0.05595466583442103	6.014745617974964E-4	
DE:FF	222	255	1	118.63892782573991	0.13664550322362004	0.0028907485084667104	
3F:FF	63	255	1	173.0355612009731	0.19930867654205908	0.001605294269937964	
7E:FF	126	255	1	78.6312220920954	0.09057572865770613	6.965281311742494E-4	
FD:FB	253	251	1	103.0733885471689	0.11684791811229962	0.0024732391868222893	
FF:FA	255	250	1	145.05173570845665	0.16375898515010906	0.004917901754863307	
FF:BB	255	187	1	15.873213111607726	0.013451211338973833	5.9449083398925156E-5	
F9:FF	249	255	1	80.94368266428904	0.09323605317150686	0.001508814061608499	
7F:BF	127	191	1	24.314747229407605	0.02104632490466332	6.741327499879714E-5	
BE:FF	190	255	1	159.81638820769476	0.18405605039293294	0.00444004708142677	
BF:EF	191	239	1	87.97323713726668	0.09496171060659338	0.0013588164955734025	
7F:FB	127	251	1	44.76939233066586	0.05075806822760121	2.2786814750372575E-4	
EF:DF	239	223	1	38.25170087561105	0.038519292132389846	3.253090142291634E-4	
CF:FF	207	255	1	85.48278790019783	0.09846491096176863	0.00141354743269536	
FE:FD	254	253	1	73.94313139241115	0.08450270397341102	0.0012798473769813053	
FF:F3	255	243	1	84.99770467558504	0.09327817955578835	0.0016958169745387428	
FD:DF	253	223	1	38.2757247377193	0.03854344513099731	3.427095553821709E-4	
DF:F7	223	247	1	71.05867404299482	0.07927454048790371	0.0010444025756976257	
FE:BF	254	191	1	12.968910776652542	0.011225608876972019	3.956177224775484E-5	
EF:BF	239	191	1	8.726776091181176	0.007553710764935032	1.6966679555727404E-5	
FF:E7	255	231	1	42.65310815781272	0.044497143108342005	4.283080479063416E-4	
7B:FF	123	255	1	139.1682758177208	0.16029574522235493	0.002132744633432523	
F6:FF	246	255	1	115.97804550071442	0.1335796884112828	0.003056261907220605	
BF:FE	191	254	1	107.95268599470755	0.12385529390617286	0.0020418638956264754	
F5:FF	245	255	1	52.28275357849344	0.060225326004780075	6.214442075043212E-4	
DD:FF	221	255	1	76.64829572925763	0.08828969670963555	0.0012050384460393397	
BF:FD	191	253	1	121.4829836560329	0.13882142661716124	0.0025835751191314363	
